# Energy[eV]	Flux[ph/s/100mA]	Power[W/100mA]	Resolution	Resolution_Filtered	Harmonic
5.750000E+03 7.290355E+12 6.717053E-03 1.351964E-04 1.360239E-04 1.000000E+00
1.725000E+04 3.312104E+10 9.153964E-05 6.793737E-05 7.093205E-05 3.000000E+00
2.300000E+04 3.199993E+09 1.179208E-05 6.604147E-05 6.955310E-05 4.000000E+00
2.875000E+04 3.789152E+08 1.745390E-06 6.765388E-05 7.145844E-05 5.000000E+00
4.025000E+04 8.073278E+06 5.206277E-08 6.257535E-05 7.004318E-05 7.000000E+00
4.600000E+04 2.273738E+06 1.675751E-08 6.016325E-05 7.201322E-05 8.000000E+00
5.175000E+04 2.781174E+05 2.305949E-09 5.381631E-05 6.603342E-05 9.000000E+00
6.325000E+04 1.361245E+04 1.379455E-10 4.074083E-05 6.290840E-05 1.100000E+01
6.900000E+04 4.003927E+03 4.426346E-11 5.719181E-05 6.689378E-05 1.200000E+01
7.475000E+04 6.680817E+02 8.001139E-12 3.360222E-05 7.336305E-05 1.300000E+01
8.625000E+04 3.212907E+01 4.439838E-13 2.740601E-05 5.956740E-05 1.500000E+01
9.200000E+04 1.146856E+01 1.690468E-13 1.949445E-05 6.017899E-05 1.600000E+01
9.775000E+04 1.839224E+00 2.880467E-14 -8.744750E-06 5.888992E-05 1.700000E+01
