# Energy[eV]	Flux[ph/s/100mA]	Power[W/100mA]	Resolution	Resolution_Filtered	Harmonic
5.750000E+03 1.192016E+12 1.098278E-03 1.282727E-04 1.254019E-04 1.000000E+00
1.725000E+04 7.212550E+09 1.993399E-05 2.766991E-05 2.736054E-05 3.000000E+00
2.300000E+04 6.881121E+08 2.535717E-06 2.783167E-05 2.710843E-05 4.000000E+00
2.875000E+04 5.899886E+07 2.717653E-07 2.795224E-05 2.677730E-05 5.000000E+00
4.025000E+04 1.267211E+04 8.171959E-11 2.824749E-05 2.701384E-05 7.000000E+00
4.600000E+04 6.232779E+02 4.593575E-12 2.822602E-05 2.702544E-05 8.000000E+00
5.175000E+04 2.058004E+01 1.706348E-13 2.831130E-05 2.706070E-05 9.000000E+00
6.325000E+04 1.234978E-01 1.251499E-15 2.803064E-05 2.627415E-05 1.100000E+01
6.900000E+04 1.501265E-02 1.659652E-16 2.732835E-05 2.708756E-05 1.200000E+01
7.475000E+04 1.049181E-03 1.256528E-17 2.750031E-05 2.706813E-05 1.300000E+01
8.625000E+04 1.404265E-05 1.940524E-19 2.285000E-05 2.718775E-05 1.500000E+01
9.200000E+04 2.568621E-06 3.786156E-20 2.737510E-05 2.707904E-05 1.600000E+01
9.775000E+04 2.645608E-07 4.143359E-21 1.995802E-05 2.686884E-05 1.700000E+01
