#Energy[eV]	Flux[ph/s/eV/100mA] 
100.00	0.000000E+00 
110.00	0.000000E+00 
120.00	0.000000E+00 
130.00	0.000000E+00 
140.00	0.000000E+00 
150.00	0.000000E+00 
160.00	0.000000E+00 
170.00	0.000000E+00 
180.00	0.000000E+00 
190.00	0.000000E+00 
200.00	0.000000E+00 
210.00	0.000000E+00 
220.00	0.000000E+00 
230.00	0.000000E+00 
240.00	0.000000E+00 
250.00	0.000000E+00 
260.00	0.000000E+00 
270.00	0.000000E+00 
280.00	0.000000E+00 
290.00	0.000000E+00 
300.00	0.000000E+00 
310.00	0.000000E+00 
320.00	0.000000E+00 
330.00	0.000000E+00 
340.00	0.000000E+00 
350.00	0.000000E+00 
360.00	0.000000E+00 
370.00	0.000000E+00 
380.00	0.000000E+00 
390.00	0.000000E+00 
400.00	0.000000E+00 
410.00	0.000000E+00 
420.00	0.000000E+00 
430.00	0.000000E+00 
440.00	0.000000E+00 
450.00	0.000000E+00 
460.00	0.000000E+00 
470.00	0.000000E+00 
480.00	0.000000E+00 
490.00	0.000000E+00 
500.00	0.000000E+00 
510.00	0.000000E+00 
520.00	0.000000E+00 
530.00	0.000000E+00 
540.00	0.000000E+00 
550.00	0.000000E+00 
560.00	0.000000E+00 
570.00	0.000000E+00 
580.00	0.000000E+00 
590.00	0.000000E+00 
600.00	0.000000E+00 
610.00	0.000000E+00 
620.00	0.000000E+00 
630.00	0.000000E+00 
640.00	0.000000E+00 
650.00	0.000000E+00 
660.00	0.000000E+00 
670.00	0.000000E+00 
680.00	0.000000E+00 
690.00	0.000000E+00 
700.00	0.000000E+00 
710.00	0.000000E+00 
720.00	0.000000E+00 
730.00	0.000000E+00 
740.00	0.000000E+00 
750.00	0.000000E+00 
760.00	0.000000E+00 
770.00	0.000000E+00 
780.00	0.000000E+00 
790.00	0.000000E+00 
800.00	0.000000E+00 
810.00	0.000000E+00 
820.00	0.000000E+00 
830.00	0.000000E+00 
840.00	0.000000E+00 
850.00	0.000000E+00 
860.00	0.000000E+00 
870.00	0.000000E+00 
880.00	0.000000E+00 
890.00	0.000000E+00 
900.00	0.000000E+00 
910.00	0.000000E+00 
920.00	0.000000E+00 
930.00	0.000000E+00 
940.00	0.000000E+00 
950.00	0.000000E+00 
960.00	7.176240E+10 
970.00	7.251165E+10 
980.00	8.327874E+10 
990.00	8.093616E+10 
1000.00	7.137020E+10 
1010.00	7.662974E+10 
1020.00	8.611144E+10 
1030.00	7.981241E+10 
1040.00	7.268703E+10 
1050.00	8.179403E+10 
1060.00	8.837200E+10 
1070.00	7.913499E+10 
1080.00	7.592318E+10 
1090.00	8.759411E+10 
1100.00	9.006584E+10 
1110.00	7.947960E+10 
1120.00	8.116498E+10 
1130.00	9.364975E+10 
1140.00	9.142719E+10 
1150.00	8.145047E+10 
1160.00	8.829977E+10 
1170.00	9.961387E+10 
1180.00	9.289543E+10 
1190.00	8.561980E+10 
1200.00	9.712435E+10 
1210.00	1.053601E+11 
1220.00	9.512603E+10 
1230.00	9.244794E+10 
