#Energy [eV]	Flux [ph/s/eV/100mA] 
100.00000	4.137809690850000000E+12 
110.00000	4.001674312290909180E+12 
120.00000	3.875401920133333008E+12 
130.00000	3.758312035153846191E+12 
140.00000	3.657809367771428711E+12 
150.00000	3.543337138460000000E+12 
160.00000	3.461279857368750000E+12 
170.00000	3.346566669458823730E+12 
180.00000	3.238191696333333496E+12 
190.00000	2.623525654042104980E+12 
200.00000	2.795441014965000000E+12 
210.00000	2.766832981166666504E+12 
220.00000	2.712384962181818359E+12 
230.00000	2.625208763478260742E+12 
240.00000	2.498787683000000000E+12 
250.00000	2.351613612700000000E+12 
260.00000	2.125637434700000000E+12 
270.00000	2.052020315022222168E+12 
280.00000	2.039382307064285645E+12 
290.00000	2.026905715820689453E+12 
300.00000	2.009077044520000000E+12 
310.00000	1.988222127670968018E+12 
320.00000	1.987044559062500000E+12 
330.00000	1.976372042154545410E+12 
340.00000	1.952192403679411621E+12 
350.00000	1.928264927840000000E+12 
360.00000	1.905900256388888916E+12 
370.00000	1.878290656054053955E+12 
380.00000	1.830610217657894775E+12 
390.00000	1.764767009653846191E+12 
400.00000	1.826006751450000000E+12 
410.00000	1.775815591731707520E+12 
420.00000	1.791382990000000000E+12 
430.00000	1.767346128000000000E+12 
440.00000	1.738616992500000000E+12 
450.00000	1.739328310533333008E+12 
460.00000	1.733448395217391357E+12 
470.00000	1.713895613617021240E+12 
480.00000	1.700096390166666748E+12 
490.00000	1.676392446367347168E+12 
500.00000	1.647365924820000000E+12 
510.00000	1.622439298686274658E+12 
520.00000	1.609315598423076904E+12 
530.00000	1.602490938566037842E+12 
540.00000	1.597621769888888916E+12 
550.00000	1.595172216745454590E+12 
560.00000	1.576222080482143066E+12 
570.00000	1.554794878526315674E+12 
580.00000	1.561260318258620605E+12 
590.00000	1.522863701694915527E+12 
600.00000	1.511966634750000000E+12 
610.00000	1.500463161180327881E+12 
620.00000	1.490448154435483887E+12 
630.00000	1.475739790142857178E+12 
640.00000	1.463110011015625000E+12 
650.00000	1.450864417630769287E+12 
660.00000	1.439372206863636475E+12 
670.00000	1.426128356059701416E+12 
680.00000	1.412461814029411865E+12 
690.00000	1.401334112347826172E+12 
700.00000	1.392766616785714111E+12 
710.00000	1.383385762197183105E+12 
720.00000	1.373832990458333496E+12 
730.00000	1.359845020479452148E+12 
740.00000	1.349546270027027100E+12 
750.00000	1.337387405840000000E+12 
760.00000	1.328493270078947266E+12 
770.00000	1.318811696142857178E+12 
780.00000	1.313043836923076904E+12 
790.00000	1.301227399822784668E+12 
800.00000	1.290728495350000000E+12 
810.00000	1.279447837629629395E+12 
820.00000	1.268691801804878174E+12 
830.00000	1.259634032746988037E+12 
840.00000	1.249176235773809570E+12 
850.00000	1.240753177376470459E+12 
860.00000	1.232949824000000000E+12 
870.00000	1.225324457459770264E+12 
880.00000	1.215717320511363770E+12 
890.00000	1.206160264752809082E+12 
900.00000	1.196141386377777832E+12 
910.00000	1.188481064043956055E+12 
920.00000	1.178107427130434814E+12 
930.00000	1.170529545268817139E+12 
940.00000	1.162162101585106201E+12 
950.00000	1.154259932873684326E+12 
960.00000	1.146207004718750244E+12 
970.00000	1.136796781030927734E+12 
980.00000	1.127729316734693848E+12 
990.00000	1.117707623686868652E+12 
1000.00000	1.108640432900000000E+12 
1010.00000	1.100086504108910889E+12 
