#Energy[eV]	Flux[ph/s/100mA] 
5000.000	3.004527E+13 
15000.000	4.452914E+11 
20000.000	7.707472E+10 
25000.000	1.604018E+10 
35000.000	1.089560E+09 
40000.000	5.322775E+08 
45000.000	1.285623E+08 
55000.000	1.655366E+07 
60000.000	1.043267E+07 
65000.000	2.795201E+06 
75000.000	5.245045E+05 
80000.000	2.987191E+05 
85000.000	9.296618E+04 
95000.000	1.792303E+04 
100000.000	6.781293E+03 
105000.000	1.807800E+03 
115000.000	5.015566E+02 
120000.000	3.468490E+02 
125000.000	1.049747E+02 
135000.000	1.936620E+01 
140000.000	1.213262E+01 
145000.000	4.064798E+00 
155000.000	9.684743E-01 
160000.000	5.077548E-01 
165000.000	1.341819E-01 
175000.000	1.788803E-02 
180000.000	1.185614E-02 
185000.000	5.902716E-03 
195000.000	7.762134E-04 
200000.000	3.819361E-04 
205000.000	9.958103E-05 
215000.000	3.949152E-05 
220000.000	1.885665E-05 
225000.000	1.370797E-05 
235000.000	1.414758E-05 
240000.000	8.749201E-06 
245000.000	1.924446E-06 
255000.000	7.154758E-07 
260000.000	5.357932E-08 
265000.000	1.272745E-08 
275000.000	1.228696E-08 
280000.000	3.644144E-07 
285000.000	3.787182E-09 
295000.000	1.171273E-07 
300000.000	1.570865E-06 
