#Energy[eV]	Flux[ph/s/0.1%bw/100mA]
2070.00	3.484350E+11 
2080.00	3.511776E+11 
2090.00	3.538576E+11 
2100.00	3.573166E+11 
2110.00	3.597133E+11 
2120.00	3.634310E+11 
2130.00	3.661682E+11 
2140.00	3.693275E+11 
2150.00	3.730452E+11 
2160.00	3.757497E+11 
2170.00	3.798078E+11 
2180.00	3.828746E+11 
2190.00	3.864561E+11 
2200.00	3.904162E+11 
2210.00	3.935193E+11 
2220.00	3.980061E+11 
2230.00	4.013261E+11 
2240.00	4.054208E+11 
2250.00	4.096381E+11 
2260.00	4.131049E+11 
2270.00	4.180587E+11 
2280.00	4.216310E+11 
2290.00	4.263253E+11 
2300.00	4.308961E+11 
2310.00	4.348737E+11 
2320.00	4.403229E+11 
2330.00	4.442932E+11 
2340.00	4.496239E+11 
2350.00	4.544290E+11 
2360.00	4.591932E+11 
2370.00	4.650925E+11 
2380.00	4.695251E+11 
2390.00	4.755660E+11 
2400.00	4.808626E+11 
2410.00	4.862533E+11 
2420.00	4.927048E+11 
2430.00	4.978196E+11 
2440.00	5.046006E+11 
2450.00	5.104672E+11 
2460.00	5.166511E+11 
2470.00	5.238304E+11 
2480.00	5.295935E+11 
2490.00	5.372195E+11 
2500.00	5.437016E+11 
2510.00	5.508701E+11 
2520.00	5.587685E+11 
2530.00	5.653268E+11 
2540.00	5.739987E+11 
2550.00	5.812761E+11 
2560.00	5.894686E+11 
2570.00	5.982276E+11 
2580.00	6.059026E+11 
2590.00	6.157184E+11 
2600.00	6.238149E+11 
2610.00	6.334530E+11 
2620.00	6.431846E+11 
2630.00	6.521196E+11 
2640.00	6.632788E+11 
2650.00	6.725410E+11 
2660.00	6.836886E+11 
2670.00	6.946365E+11 
2680.00	7.051361E+11 
2690.00	7.178050E+11 
2700.00	7.284653E+11 
2710.00	7.415516E+11 
2720.00	7.539421E+11 
2730.00	7.663580E+11 
2740.00	7.808330E+11 
2750.00	7.933942E+11 
2760.00	8.087345E+11 
2770.00	8.228726E+11 
2780.00	8.377419E+11 
2790.00	8.544459E+11 
2800.00	8.692008E+11 
2810.00	8.872492E+11 
2820.00	9.038534E+11 
2830.00	9.217137E+11 
2840.00	9.411779E+11 
2850.00	9.589206E+11 
2860.00	9.804339E+11 
2870.00	1.000145E+12 
2880.00	1.021856E+12 
2890.00	1.044994E+12 
2900.00	1.066983E+12 
2910.00	1.092971E+12 
2920.00	1.117054E+12 
2930.00	1.144161E+12 
2940.00	1.172520E+12 
2950.00	1.200457E+12 
2960.00	1.233361E+12 
2970.00	1.264754E+12 
2980.00	1.301109E+12 
2990.00	1.339263E+12 
3000.00	1.379141E+12 
3010.00	1.425400E+12 
3020.00	1.471213E+12 
3030.00	1.524220E+12 
3040.00	1.580104E+12 
3050.00	1.640825E+12 
3060.00	1.711714E+12 
3070.00	1.788596E+12 
3080.00	1.882900E+12 
3090.00	1.991659E+12 
3100.00	2.120127E+12 
3110.00	2.272247E+12 
3120.00	2.441404E+12 
3130.00	2.636346E+12 
3140.00	2.851336E+12 
3150.00	3.097797E+12 
3160.00	3.390159E+12 
3170.00	3.741347E+12 
3180.00	4.181329E+12 
3190.00	4.715192E+12 
3200.00	5.352564E+12 
3210.00	6.084974E+12 
3220.00	6.898687E+12 
3230.00	7.810620E+12 
3240.00	8.844721E+12 
3250.00	1.007188E+13 
3260.00	1.155615E+13 
3270.00	1.333399E+13 
3280.00	1.540619E+13 
3290.00	1.771676E+13 
3300.00	2.024980E+13 
3310.00	2.304275E+13 
3320.00	2.621582E+13 
3330.00	2.991618E+13 
3340.00	3.419136E+13 
3350.00	3.900069E+13 
3360.00	4.423714E+13 
3370.00	4.989546E+13 
3380.00	5.612795E+13 
3390.00	6.311396E+13 
3400.00	7.094004E+13 
3410.00	7.949464E+13 
3420.00	8.867673E+13 
3430.00	9.855843E+13 
3440.00	1.093189E+14 
3450.00	1.210773E+14 
3460.00	1.337397E+14 
3470.00	1.472424E+14 
3480.00	1.616766E+14 
3490.00	1.771642E+14 
3500.00	1.937414E+14 
3510.00	2.113489E+14 
3520.00	2.300556E+14 
3530.00	2.499563E+14 
3540.00	2.710793E+14 
3550.00	2.934852E+14 
3560.00	3.172318E+14 
3570.00	3.424355E+14 
3580.00	3.691845E+14 
3590.00	3.975970E+14 
3600.00	4.278619E+14 
3610.00	4.601507E+14 
3620.00	4.947656E+14 
3630.00	5.320679E+14 
3640.00	5.726052E+14 
3650.00	6.172758E+14 
3660.00	6.674468E+14 
3670.00	7.250007E+14 
3680.00	7.907112E+14 
3690.00	8.612650E+14 
3700.00	9.281579E+14 
3710.00	9.823900E+14 
3720.00	1.021271E+15 
3730.00	1.048751E+15 
3740.00	1.070474E+15 
3750.00	1.089966E+15 
