# Energy[eV]	Flux[ph/s/100mA]	Power[W/100mA]	Resolution	Resolution_Filtered	Harmonic
1.233600E+04 2.261500E+13 4.469711E-02 1.594522E-04 1.618648E-04 1.000000E+00
3.700800E+04 3.177698E+10 1.884162E-04 1.069329E-04 1.094712E-04 3.000000E+00
4.934400E+04 1.598451E+09 1.263699E-05 1.056428E-04 1.119298E-04 4.000000E+00
6.168000E+04 1.343024E+08 1.327206E-06 9.764124E-05 1.160918E-04 5.000000E+00
8.635200E+04 1.084760E+06 1.500775E-08 9.213507E-05 1.079238E-04 7.000000E+00
9.868800E+04 1.822277E+05 2.881303E-09 7.627678E-05 1.021560E-04 8.000000E+00
1.110240E+05 1.448627E+04 2.576819E-10 4.903923E-05 1.059954E-04 9.000000E+00
1.356960E+05 2.528919E+02 5.498102E-12 1.266125E-05 1.037266E-04 1.100000E+01
1.480320E+05 4.824774E+01 1.144311E-12 6.517776E-05 1.031124E-04 1.200000E+01
1.603680E+05 5.109915E+00 1.312930E-13 6.593567E-05 1.022295E-04 1.300000E+01
1.850400E+05 9.482009E-02 2.811115E-15 2.968597E-05 1.022683E-04 1.500000E+01
1.973760E+05 2.030657E-02 6.421583E-16 -3.164195E-07 9.913368E-05 1.600000E+01
