#Energy[eV]	Flux[ph/s/0.1%bw/100mA]
1210.00	3.140520E+11 
1220.00	3.200784E+11 
1230.00	3.228070E+11 
1240.00	3.277157E+11 
1250.00	3.327051E+11 
1260.00	3.358347E+11 
1270.00	3.426885E+11 
1280.00	3.456170E+11 
1290.00	3.520897E+11 
1300.00	3.569658E+11 
1310.00	3.616429E+11 
1320.00	3.690406E+11 
1330.00	3.725105E+11 
1340.00	3.807272E+11 
1350.00	3.854773E+11 
1360.00	3.921847E+11 
1370.00	3.998644E+11 
1380.00	4.047071E+11 
1390.00	4.143613E+11 
1400.00	4.194575E+11 
1410.00	4.285862E+11 
1420.00	4.364104E+11 
1430.00	4.433771E+11 
1440.00	4.543676E+11 
1450.00	4.603134E+11 
1460.00	4.720759E+11 
1470.00	4.801879E+11 
1480.00	4.901067E+11 
1490.00	5.019891E+11 
1500.00	5.100366E+11 
1510.00	5.243433E+11 
1520.00	5.333421E+11 
1530.00	5.469324E+11 
1540.00	5.598486E+11 
1550.00	5.710470E+11 
1560.00	5.880345E+11 
1570.00	5.988667E+11 
1580.00	6.167596E+11 
1590.00	6.311121E+11 
1600.00	6.468805E+11 
1610.00	6.665651E+11 
1620.00	6.807452E+11 
1630.00	7.036216E+11 
1640.00	7.202433E+11 
1650.00	7.422765E+11 
1660.00	7.651882E+11 
1670.00	7.848934E+11 
1680.00	8.135456E+11 
1690.00	8.343646E+11 
1700.00	8.646534E+11 
1710.00	8.917128E+11 
1720.00	9.201250E+11 
1730.00	9.557431E+11 
1740.00	9.838403E+11 
1750.00	1.024750E+12 
1760.00	1.058731E+12 
1770.00	1.099838E+12 
1780.00	1.144694E+12 
1790.00	1.185376E+12 
1800.00	1.240501E+12 
1810.00	1.286418E+12 
1820.00	1.346463E+12 
1830.00	1.405713E+12 
1840.00	1.467383E+12 
1850.00	1.543730E+12 
1860.00	1.611704E+12 
1870.00	1.701841E+12 
1880.00	1.787582E+12 
1890.00	1.887895E+12 
1900.00	2.003763E+12 
1910.00	2.122649E+12 
1920.00	2.279617E+12 
1930.00	2.441700E+12 
1940.00	2.649261E+12 
1950.00	2.899645E+12 
1960.00	3.224565E+12 
1970.00	3.683470E+12 
1980.00	4.254947E+12 
1990.00	5.022178E+12 
2000.00	6.076905E+12 
2010.00	7.639479E+12 
2020.00	9.792615E+12 
2030.00	1.254864E+13 
2040.00	1.638887E+13 
2050.00	2.176516E+13 
2060.00	2.871639E+13 
2070.00	3.757478E+13 
2080.00	4.931299E+13 
2090.00	6.402479E+13 
2100.00	8.204528E+13 
2110.00	1.044202E+14 
2120.00	1.310675E+14 
2130.00	1.627507E+14 
2140.00	1.998392E+14 
2150.00	2.426759E+14 
2160.00	2.918960E+14 
2170.00	3.479144E+14 
2180.00	4.116389E+14 
2190.00	4.841747E+14 
2200.00	5.673469E+14 
2210.00	6.648366E+14 
2220.00	7.844365E+14 
2230.00	9.373786E+14 
2240.00	1.093296E+15 
2250.00	1.193743E+15 
2260.00	1.250882E+15 
2270.00	1.296776E+15 
2280.00	1.339167E+15 
2290.00	1.378371E+15 
2300.00	1.414703E+15 
2310.00	1.448193E+15 
2320.00	1.478517E+15 
2330.00	1.506750E+15 
2340.00	1.531936E+15 
2350.00	1.555402E+15 
2360.00	1.576562E+15 
2370.00	1.593677E+15 
2380.00	1.608195E+15 
2390.00	1.605053E+15 
2400.00	1.522249E+15 
2410.00	9.323390E+14 
2420.00	2.367636E+14 
2430.00	7.314076E+13 
2440.00	4.338640E+13 
2450.00	3.166692E+13 
2460.00	2.292212E+13 
2470.00	1.875901E+13 
2480.00	1.521376E+13 
2490.00	1.268382E+13 
2500.00	1.107492E+13 
2510.00	9.371483E+12 
2520.00	8.426674E+12 
2530.00	7.371908E+12 
2540.00	6.616409E+12 
2550.00	6.016606E+12 
2560.00	5.370093E+12 
2570.00	4.995775E+12 
2580.00	4.506439E+12 
2590.00	4.191181E+12 
2600.00	3.875578E+12 
2610.00	3.567590E+12 
2620.00	3.371288E+12 
2630.00	3.099727E+12 
2640.00	2.943330E+12 
2650.00	2.746118E+12 
2660.00	2.583631E+12 
2670.00	2.459104E+12 
2680.00	2.295849E+12 
2690.00	2.206861E+12 
2700.00	2.072437E+12 
2710.00	1.981815E+12 
2720.00	1.891941E+12 
2730.00	1.790692E+12 
2740.00	1.732490E+12 
2750.00	1.637520E+12 
2760.00	1.584589E+12 
2770.00	1.514684E+12 
2780.00	1.451769E+12 
2790.00	1.408012E+12 
2800.00	1.340807E+12 
2810.00	1.307494E+12 
2820.00	1.251560E+12 
2830.00	1.212856E+12 
2840.00	1.176510E+12 
2850.00	1.129709E+12 
2860.00	1.106245E+12 
2870.00	1.061774E+12 
2880.00	1.037839E+12 
2890.00	1.006059E+12 
2900.00	9.745815E+11 
2910.00	9.556425E+11 
2920.00	9.211344E+11 
2930.00	9.059045E+11 
2940.00	8.778075E+11 
2950.00	8.575696E+11 
