#Energy[eV]	Flux[ph/s/0.1%bw/100mA] 
1200.00	6.700280E+10 
1210.00	6.614671E+10 
1220.00	6.867263E+10 
1230.00	6.795778E+10 
1240.00	6.948387E+10 
1250.00	7.056475E+10 
1260.00	7.016545E+10 
1270.00	7.281874E+10 
1280.00	7.178677E+10 
1290.00	7.420971E+10 
1300.00	7.454853E+10 
1310.00	7.505404E+10 
1320.00	7.749981E+10 
1330.00	7.646608E+10 
1340.00	7.964221E+10 
1350.00	7.918100E+10 
1360.00	8.084428E+10 
1370.00	8.269450E+10 
1380.00	8.216102E+10 
1390.00	8.577609E+10 
1400.00	8.472978E+10 
1410.00	8.766467E+10 
1420.00	8.864454E+10 
1430.00	8.910266E+10 
1440.00	9.268494E+10 
1450.00	9.152832E+10 
1460.00	9.563154E+10 
1470.00	9.568662E+10 
1480.00	9.757758E+10 
1490.00	1.006068E+11 
1500.00	9.987245E+10 
1510.00	1.048076E+11 
1520.00	1.039854E+11 
1530.00	1.076860E+11 
1540.00	1.097239E+11 
1550.00	1.101831E+11 
1560.00	1.154532E+11 
1570.00	1.142869E+11 
1580.00	1.197596E+11 
1590.00	1.205975E+11 
1600.00	1.229971E+11 
1610.00	1.278900E+11 
1620.00	1.271246E+11 
1630.00	1.341454E+11 
1640.00	1.338118E+11 
1650.00	1.387313E+11 
1660.00	1.426355E+11 
1670.00	1.433456E+11 
1680.00	1.512911E+11 
1690.00	1.503804E+11 
1700.00	1.581112E+11 
1710.00	1.606041E+11 
1720.00	1.639417E+11 
1730.00	1.720355E+11 
1740.00	1.715689E+11 
1750.00	1.820965E+11 
1760.00	1.831122E+11 
1770.00	1.902675E+11 
1780.00	1.976429E+11 
1790.00	1.991246E+11 
1800.00	2.119815E+11 
1810.00	2.121830E+11 
1820.00	2.240886E+11 
1830.00	2.300980E+11 
1840.00	2.355878E+11 
1850.00	2.499576E+11 
1860.00	2.508126E+11 
1870.00	2.681312E+11 
1880.00	2.726137E+11 
1890.00	2.845316E+11 
1900.00	2.994023E+11 
1910.00	3.035712E+11 
1920.00	3.265415E+11 
1930.00	3.304860E+11 
1940.00	3.515922E+11 
1950.00	3.662803E+11 
1960.00	3.778114E+11 
1970.00	4.064404E+11 
1980.00	4.126694E+11 
1990.00	4.459290E+11 
2000.00	4.609587E+11 
2010.00	4.857659E+11 
2020.00	5.203671E+11 
2030.00	5.347181E+11 
2040.00	5.841543E+11 
2050.00	6.026916E+11 
2060.00	6.499775E+11 
2070.00	6.926313E+11 
2080.00	7.264839E+11 
2090.00	7.987557E+11 
2100.00	8.302885E+11 
2110.00	9.156206E+11 
2120.00	9.747245E+11 
2130.00	1.051322E+12 
2140.00	1.161816E+12 
2150.00	1.232321E+12 
2160.00	1.389654E+12 
2170.00	1.496079E+12 
2180.00	1.676025E+12 
2190.00	1.881309E+12 
2200.00	2.086645E+12 
2210.00	2.447114E+12 
2220.00	2.782390E+12 
2230.00	3.384554E+12 
2240.00	4.142271E+12 
2250.00	5.273148E+12 
2260.00	7.124659E+12 
2270.00	9.858711E+12 
2280.00	1.459597E+13 
