#Energy[eV]	Flux[ph/s/100mA] 
5000.000	2.351749E+13 
15000.000	2.711405E+11 
20000.000	3.972770E+10 
25000.000	9.921472E+08 
35000.000	6.764106E+06 
40000.000	1.513080E+06 
45000.000	1.670587E+05 
55000.000	7.122679E+03 
60000.000	2.396529E+03 
65000.000	4.189379E+02 
75000.000	2.986019E+01 
80000.000	1.175417E+01 
85000.000	2.346270E+00 
95000.000	2.099423E-01 
100000.000	9.298063E-02 
105000.000	1.852927E-02 
115000.000	1.936540E-03 
120000.000	9.121477E-04 
125000.000	1.878261E-04 
135000.000	1.969544E-05 
140000.000	9.746645E-06 
145000.000	1.912167E-06 
