#K = 1.995669
#Energy[eV]	Flux[ph/s/100mA] 
10000.000	1.053996E+13 
30000.000	3.280707E+07 
40000.000	2.329227E+05 
50000.000	2.195557E+03 
70000.000	1.886616E+00 
80000.000	1.322973E-01 
90000.000	6.068171E-03 
110000.000	3.704885E-05 
120000.000	4.671122E-06 
130000.000	2.925947E-07 
150000.000	3.132915E-09 
160000.000	5.313097E-10 
170000.000	4.827973E-11 
190000.000	7.061752E-13 
200000.000	1.500243E-13 
210000.000	1.572368E-14 
230000.000	2.493750E-15 
240000.000	2.874826E-15 
250000.000	1.105805E-15 
270000.000	3.839886E-16 
280000.000	5.142879E-16 
290000.000	2.169503E-16 
