#Energy[eV]	Flux[ph/s/100mA] 
5000.000	2.290817E+13 
15000.000	2.944388E+11 
20000.000	6.315070E+10 
25000.000	1.015589E+10 
35000.000	6.664111E+08 
40000.000	2.565812E+08 
45000.000	4.325897E+07 
55000.000	4.118160E+06 
60000.000	1.769114E+06 
65000.000	4.037318E+05 
75000.000	4.152047E+04 
80000.000	1.879234E+04 
85000.000	4.926129E+03 
95000.000	5.046063E+02 
100000.000	2.427336E+02 
105000.000	5.872850E+01 
115000.000	6.342044E+00 
120000.000	3.153537E+00 
125000.000	7.718316E-01 
135000.000	8.726646E-02 
140000.000	4.170052E-02
145000.000	8.770295E-03 
155000.000	1.090945E-03  
