#APU18, K = 1.922968
#Energy[eV]	Flux[ph/s/eV/100mA] 
100.00	0.000000E+00 
110.00	0.000000E+00 
120.00	0.000000E+00 
130.00	0.000000E+00 
140.00	0.000000E+00 
150.00	0.000000E+00 
160.00	0.000000E+00 
170.00	0.000000E+00 
180.00	0.000000E+00 
190.00	0.000000E+00 
200.00	0.000000E+00 
210.00	0.000000E+00 
220.00	0.000000E+00 
230.00	0.000000E+00 
240.00	0.000000E+00 
250.00	0.000000E+00 
260.00	0.000000E+00 
270.00	0.000000E+00 
280.00	0.000000E+00 
290.00	0.000000E+00 
300.00	0.000000E+00 
310.00	0.000000E+00 
320.00	0.000000E+00 
330.00	0.000000E+00 
340.00	0.000000E+00 
350.00	0.000000E+00 
360.00	0.000000E+00 
370.00	0.000000E+00 
380.00	0.000000E+00 
390.00	0.000000E+00 
400.00	0.000000E+00 
410.00	0.000000E+00 
420.00	0.000000E+00 
430.00	0.000000E+00 
440.00	0.000000E+00 
450.00	0.000000E+00 
460.00	0.000000E+00 
470.00	0.000000E+00 
480.00	0.000000E+00 
490.00	0.000000E+00 
500.00	0.000000E+00 
510.00	0.000000E+00 
520.00	0.000000E+00 
530.00	0.000000E+00 
540.00	0.000000E+00 
550.00	0.000000E+00 
560.00	0.000000E+00 
570.00	0.000000E+00 
580.00	0.000000E+00 
590.00	0.000000E+00 
600.00	0.000000E+00 
610.00	0.000000E+00 
620.00	0.000000E+00 
630.00	0.000000E+00 
640.00	0.000000E+00 
650.00	0.000000E+00 
660.00	0.000000E+00 
670.00	0.000000E+00 
680.00	0.000000E+00 
690.00	0.000000E+00 
700.00	0.000000E+00 
710.00	0.000000E+00 
720.00	0.000000E+00 
730.00	0.000000E+00 
740.00	0.000000E+00 
750.00	0.000000E+00 
760.00	0.000000E+00 
770.00	0.000000E+00 
780.00	0.000000E+00 
790.00	0.000000E+00 
800.00	0.000000E+00 
810.00	0.000000E+00 
820.00	0.000000E+00 
830.00	0.000000E+00 
840.00	7.436326E+10 
850.00	7.469783E+10 
860.00	7.499819E+10 
870.00	7.549323E+10 
880.00	7.585711E+10 
890.00	7.629435E+10 
900.00	7.687757E+10 
910.00	7.739664E+10 
920.00	7.810162E+10 
930.00	7.876924E+10 
940.00	7.949781E+10 
950.00	8.041259E+10 
960.00	8.120788E+10 
970.00	8.217381E+10 
980.00	8.314251E+10 
990.00	8.419543E+10 
1000.00	8.537928E+10 
1010.00	8.651887E+10 
1020.00	8.785469E+10 
1030.00	8.913547E+10 
1040.00	9.061408E+10 
1050.00	9.225277E+10 
1060.00	9.381318E+10 
1070.00	9.563103E+10 
1080.00	9.751697E+10 
1090.00	9.943096E+10 
1100.00	1.016215E+11 
1110.00	1.037704E+11 
1120.00	1.062041E+11 
1130.00	1.087246E+11 
1140.00	1.113999E+11 
1150.00	1.144697E+11 
1160.00	1.173485E+11 
1170.00	1.207569E+11 
1180.00	1.242419E+11 
1190.00	1.279238E+11 
1200.00	1.321221E+11 
1210.00	1.362750E+11 
1220.00	1.409715E+11 
