# Energy[eV]	Flux[ph/s/100mA]
5.000000E+03	8.335509E+11
1.500000E+04	3.606097E+10
2.000000E+04	1.253002E+10
2.500000E+04	2.180581E+09
3.500000E+04	1.594500E+08
4.000000E+04	7.168382E+07
4.500000E+04	1.581940E+07
5.500000E+04	1.833305E+06
6.000000E+04	9.672464E+05
6.500000E+04	2.341185E+05
7.500000E+04	3.355485E+04
8.000000E+04	1.617066E+04
8.500000E+04	4.352588E+03
9.500000E+04	6.602347E+02
1.000000E+05	3.526478E+02
1.050000E+05	9.106284E+01
1.150000E+05	1.345980E+01
1.200000E+05	6.716430E+00
1.250000E+05	1.896693E+00
1.350000E+05	2.717108E-01
1.400000E+05	1.669449E-01
1.450000E+05	4.675847E-02
1.550000E+05	5.895768E-03
1.600000E+05	3.119395E-03
1.650000E+05	9.259516E-04
1.750000E+05	1.458842E-04
1.800000E+05	9.036415E-05
1.850000E+05	1.944517E-05
1.950000E+05	3.328611E-06
2.000000E+05	1.285136E-06
2.050000E+05	4.442807E-07
2.150000E+05	9.462146E-08
2.200000E+05	4.641253E-08
2.250000E+05	1.617531E-08
2.350000E+05	1.253779E-09
2.400000E+05	2.095184E-09
2.450000E+05	2.325222E-10
2.550000E+05	5.713567E-11
2.600000E+05	2.586380E-11
2.650000E+05	6.326682E-12
2.750000E+05	1.043137E-12
2.800000E+05	4.549758E-13
2.850000E+05	1.321629E-13
2.950000E+05	7.685553E-14
3.000000E+05	2.476578E-14
