#Energy[eV]	Flux[ph/s/eV/100mA] 
100.00	0.000000E+00 
110.00	0.000000E+00 
120.00	0.000000E+00 
130.00	0.000000E+00 
140.00	0.000000E+00 
150.00	0.000000E+00 
160.00	0.000000E+00 
170.00	0.000000E+00 
180.00	0.000000E+00 
190.00	0.000000E+00 
200.00	0.000000E+00 
210.00	0.000000E+00 
220.00	0.000000E+00 
230.00	0.000000E+00 
240.00	0.000000E+00 
250.00	0.000000E+00 
260.00	0.000000E+00 
270.00	0.000000E+00 
280.00	0.000000E+00 
290.00	0.000000E+00 
300.00	0.000000E+00 
310.00	0.000000E+00 
320.00	0.000000E+00 
330.00	0.000000E+00 
340.00	0.000000E+00 
350.00	0.000000E+00 
360.00	0.000000E+00 
370.00	0.000000E+00 
380.00	0.000000E+00 
390.00	0.000000E+00 
400.00	0.000000E+00 
410.00	0.000000E+00 
420.00	0.000000E+00 
430.00	0.000000E+00 
440.00	0.000000E+00 
450.00	0.000000E+00 
460.00	0.000000E+00 
470.00	0.000000E+00 
480.00	0.000000E+00 
490.00	0.000000E+00 
500.00	0.000000E+00 
510.00	0.000000E+00 
520.00	0.000000E+00 
530.00	0.000000E+00 
540.00	0.000000E+00 
550.00	0.000000E+00 
560.00	0.000000E+00 
570.00	0.000000E+00 
580.00	0.000000E+00 
590.00	0.000000E+00 
600.00	0.000000E+00 
610.00	0.000000E+00 
620.00	0.000000E+00 
630.00	0.000000E+00 
640.00	0.000000E+00 
650.00	6.702739E+10 
660.00	6.715524E+10 
670.00	6.730496E+10 
680.00	6.751045E+10 
690.00	6.775641E+10 
700.00	6.806306E+10 
710.00	6.842922E+10 
720.00	6.884700E+10 
730.00	6.932111E+10 
740.00	6.988994E+10 
750.00	7.054648E+10 
760.00	7.128510E+10 
770.00	7.211502E+10 
780.00	7.307399E+10 
790.00	7.415497E+10 
800.00	7.533727E+10 
810.00	7.669918E+10 
820.00	7.823430E+10 
830.00	7.992760E+10 
840.00	8.181439E+10 
850.00	8.388857E+10 
860.00	8.618669E+10 
870.00	8.873883E+10 
880.00	9.154277E+10 
890.00	9.462782E+10 
900.00	9.800818E+10 
910.00	1.017338E+11 
920.00	1.058325E+11 
930.00	1.103415E+11 
940.00	1.152365E+11 
950.00	1.206123E+11 
960.00	1.265047E+11 
970.00	1.329760E+11 
980.00	1.400579E+11 
990.00	1.478351E+11 
1000.00	1.564111E+11 
1010.00	1.658424E+11 
1020.00	1.762784E+11 
1030.00	1.878498E+11 
1040.00	2.006919E+11 
1050.00	2.150578E+11 
1060.00	2.311210E+11 
1070.00	2.492307E+11 
1080.00	2.697582E+11 
1090.00	2.931852E+11 
1100.00	3.200507E+11 
1110.00	3.511656E+11 
1120.00	3.874999E+11 
1130.00	4.303681E+11 
1140.00	4.815280E+11 
1150.00	5.433514E+11 
1160.00	6.192531E+11 
1170.00	7.140178E+11 
1180.00	8.347111E+11 
1190.00	9.921704E+11 
1200.00	1.203715E+12 
1210.00	1.498789E+12 
1220.00	1.934684E+12 
1230.00	2.641813E+12 
