#Energy[eV] Flux[ph/s/500mA/0.1%bW] 
1.000000000000000000e+02 2.682675899595517578e+13
1.000170392454561181e+02 2.682820324113307031e+13
1.000340813942711975e+02 2.682964755482637891e+13
1.000511264469397332e+02 2.683109193703401562e+13
1.000681744039567320e+02 2.683253638775758594e+13
1.000852252658168879e+02 2.683398090699866797e+13
1.001022790330153356e+02 2.683542549475886328e+13
1.001193357060469395e+02 2.683687015104236328e+13
1.001363952854070334e+02 2.683831487584816016e+13
1.001534577715906096e+02 2.683975966917780078e+13
1.001705231650932006e+02 2.684120453103289844e+13
1.001875914664099838e+02 2.684264946141766016e+13
1.002046626760366195e+02 2.684409446032972266e+13
1.002217367944684554e+02 2.684553952777197266e+13
1.002388138222013509e+02 2.684698466374733984e+13
1.002558937597308244e+02 2.684842986825871484e+13
1.002729766075528630e+02 2.684987514130372266e+13
1.002900623661631840e+02 2.685132048288657812e+13
1.003071510360579452e+02 2.685276589300756641e+13
1.003242426177330202e+02 2.685421137166823828e+13
1.003413371116847514e+02 2.685565691887152734e+13
1.003584345184091546e+02 2.685710253461767578e+13
1.003755348384027712e+02 2.685854821890959766e+13
1.003926380721617733e+02 2.685999397174886719e+13
1.004097442201828585e+02 2.686143979313443359e+13
1.004268532829623979e+02 2.686288568307181641e+13
1.004439652609972313e+02 2.686433164155866797e+13
1.004610801547839145e+02 2.686577766860050391e+13
1.004781979648194579e+02 2.686722376419496094e+13
1.004953186916005592e+02 2.686866992834756641e+13
1.005124423356244279e+02 2.687011616105726562e+13
1.005295688973879322e+02 2.687156246232562891e+13
1.005466983773884380e+02 2.687300883215557422e+13
1.005638307761229839e+02 2.687445527054733594e+13
1.005809660940891064e+02 2.687590177750119141e+13
1.005981043317840147e+02 2.687734835302531641e+13
1.006152454897054014e+02 2.687879499711337109e+13
1.006323895683506748e+02 2.688024170976954297e+13
1.006495365682176839e+02 2.688168849100074609e+13
1.006666864898039790e+02 2.688313534080057422e+13
1.006838393336076223e+02 2.688458225917328516e+13
1.007009951001263204e+02 2.688602924612308203e+13
1.007181537898582775e+02 2.688747630164889844e+13
1.007353154033014135e+02 2.688892342575231250e+13
1.007524799409540748e+02 2.689037061843755078e+13
1.007696474033143375e+02 2.689181787970352344e+13
1.007868177908807468e+02 2.689326520955050391e+13
1.008039911041515495e+02 2.689471260798401172e+13
1.008211673436254472e+02 2.689616007500433594e+13
1.008383465098008571e+02 2.689760761061168750e+13
1.008555286031766514e+02 2.689905521480766016e+13
1.008727136242514035e+02 2.690050288759514453e+13
1.008899015735241989e+02 2.690195062897439062e+13
1.009070924514937388e+02 2.690339843894960938e+13
1.009242862586592793e+02 2.690484631751975000e+13
1.009414829955197348e+02 2.690629426468768750e+13
1.009586826625744891e+02 2.690774228045500391e+13
1.009758852603226273e+02 2.690919036482060547e+13
1.009930907892637180e+02 2.691063851778873828e+13
1.010102992498970167e+02 2.691208673936094141e+13
1.010275106427222767e+02 2.691353502953882031e+13
1.010447249682388815e+02 2.691498338832258203e+13
1.010619422269467833e+02 2.691643181571383203e+13
1.010791624193455505e+02 2.691788031171676562e+13
1.010963855459352772e+02 2.691932887633030859e+13
1.011136116072157165e+02 2.692077750955603125e+13
1.011308406036871048e+02 2.692222621139816016e+13
1.011480725358494084e+02 2.692367498185559766e+13
1.011653074042030198e+02 2.692512382093124609e+13
1.011825452092480617e+02 2.692657272862666016e+13
1.011997859514851115e+02 2.692802170494211328e+13
1.012170296314144480e+02 2.692947074987913281e+13
1.012342762495368476e+02 2.693091986344065234e+13
1.012515258063527313e+02 2.693236904562819531e+13
1.012687783023630317e+02 2.693381829644335938e+13
1.012860337380683831e+02 2.693526761588767969e+13
1.013032921139698885e+02 2.693671700396144531e+13
1.013205534305683102e+02 2.693816646066882422e+13
1.013378176883649502e+02 2.693961598600610156e+13
1.013550848878607411e+02 2.694106557998146094e+13
1.013723550295571414e+02 2.694251524259383203e+13
1.013896281139552684e+02 2.694396497384076953e+13
