#Energy[eV] Flux[ph/s/500mA/0.1%bW] 
100.00 1.0356431000751454E+12 
110.00 1.1030968014896404E+12 
120.00 1.1681964619176863E+12 
130.00 1.2317247602638796E+12 
140.00 1.2915140188633125E+12 
150.00 1.3504229403724648E+12 
160.00 1.4065319579205337E+12 
170.00 1.4601428114685862E+12 
180.00 1.5136553022273042E+12 
190.00 1.5654655760886104E+12 
200.00 1.6178116124209929E+12 
210.00 1.6688377026675720E+12 
220.00 1.7202911616626812E+12 
230.00 1.7710823643322310E+12 
240.00 1.8213730538302944E+12 
250.00 1.8708123140016670E+12 
260.00 1.9204299377107480E+12 
270.00 1.9692015702348281E+12 
280.00 2.0180081372622966E+12 
290.00 2.0649096829785127E+12 
300.00 2.1127782945429346E+12 
310.00 2.1583538231987268E+12 
320.00 2.2053466323929570E+12 
330.00 2.2500772414582158E+12 
340.00 2.2957190481253311E+12 
350.00 2.3410439156905181E+12 
360.00 2.3853494873674478E+12 
370.00 2.4296332707280615E+12 
380.00 2.4738404815941406E+12 
390.00 2.5170992595601631E+12 
400.00 2.5593001289140693E+12 
410.00 2.6024785810934199E+12 
420.00 2.6447042345757344E+12 
430.00 2.6858249368377388E+12 
440.00 2.7269814548701543E+12 
450.00 2.7681399592713027E+12 
460.00 2.8091493519403584E+12 
470.00 2.8492142376061924E+12 
480.00 2.8893600762577212E+12 
490.00 2.9302922012726982E+12 
500.00 2.9702851846496392E+12 
510.00 3.0087810557552012E+12 
520.00 3.0433662110445879E+12 
530.00 3.0839296304611685E+12 
540.00 3.1226638188837466E+12 
550.00 3.1611343697448760E+12 
560.00 3.1994831583253340E+12 
570.00 3.2377574554100342E+12 
580.00 3.2749921019605874E+12 
590.00 3.3121645197449160E+12 
600.00 3.3492299105027178E+12 
610.00 3.3842167341921821E+12 
620.00 3.4209842764332510E+12 
630.00 3.4573176540218613E+12 
640.00 3.4935746580952837E+12 
650.00 3.5297899175476978E+12 
660.00 3.5649983851753940E+12 
670.00 3.6011577285938350E+12 
680.00 3.6363097596316577E+12 
690.00 3.6714285278510444E+12 
700.00 3.7055204149877397E+12 
710.00 3.7404893302444346E+12 
720.00 3.7739999331190586E+12 
730.00 3.8073375107380396E+12 
740.00 3.8418132811569985E+12 
750.00 3.8761392949112300E+12 
760.00 3.9104118735483242E+12 
770.00 3.9436743948604136E+12 
780.00 3.9769178597374941E+12 
790.00 4.0101465765626484E+12 
800.00 4.0433647150119971E+12 
810.00 4.0765745129639863E+12 
820.00 4.1097774161793540E+12 
830.00 4.1419964627834565E+12 
840.00 4.1742081549443926E+12 
850.00 4.2073963041987402E+12 
860.00 4.2396015480918594E+12 
870.00 4.2708286284449355E+12 
880.00 4.3030301254151396E+12 
890.00 4.3352342337695967E+12 
900.00 4.3664605947670620E+12 
910.00 4.3976821619561138E+12 
920.00 4.4289034692964219E+12 
930.00 4.4601260023240098E+12 
940.00 4.4913692439842773E+12 
950.00 4.5226100182211943E+12 
960.00 4.5538466440435918E+12 
970.00 4.5841181895150518E+12 
980.00 4.6154031659954385E+12 
990.00 4.6457801144284404E+12 
1000.00 4.6764632887029277E+12 
1010.00 4.7071625030857061E+12 
1020.00 4.7377426107329785E+12 
1030.00 4.7672822523103330E+12 
1040.00 4.7977620630801289E+12 
1050.00 4.8282152031570361E+12 
1060.00 4.8576682626143350E+12 
1070.00 4.8871084529631328E+12 
1080.00 4.9165335396731729E+12 
1090.00 4.9459454858530557E+12 
1100.00 4.9753463906937793E+12 
1110.00 5.0047402278945371E+12 
1120.00 5.0341222723121494E+12 
1130.00 5.0625179470719082E+12 
1140.00 5.0918875030258213E+12 
1150.00 5.1202678110425049E+12 
1160.00 5.1496219768808945E+12 
1170.00 5.1779909003763721E+12 
1180.00 5.2063529403005811E+12 
1190.00 5.2347068784319443E+12 
1200.00 5.2630592090417959E+12 
1210.00 5.2904210615764443E+12 
1220.00 5.3187602481766074E+12 
1230.00 5.3471009652963711E+12 
1240.00 5.3744587325783096E+12 
1250.00 5.4018041071759766E+12 
1260.00 5.4301973755797666E+12 
1270.00 5.4576376574089395E+12 
1280.00 5.4850611719557656E+12 
1290.00 5.5124778437512900E+12 
1300.00 5.5398850879081797E+12 
1310.00 5.5672792980423506E+12 
1320.00 5.5936930467016914E+12 
1330.00 5.6211178638846709E+12 
1340.00 5.6485962009162764E+12 
1350.00 5.6751258517329551E+12 
1360.00 5.7016398592179482E+12 
1370.00 5.7291146417874668E+12 
1380.00 5.7556023876348984E+12 
1390.00 5.7820746545477900E+12 
1400.00 5.8085682684589521E+12 
1410.00 5.8350726745806709E+12 
1420.00 5.8615674698830068E+12 
1430.00 5.8880453090274805E+12 
1440.00 5.9135366971387969E+12 
1450.00 5.9399796148563643E+12 
1460.00 5.9654364965787900E+12 
1470.00 5.9918599354024619E+12 
1480.00 6.0172813249102363E+12 
1490.00 6.0427019070467871E+12 
1500.00 6.0690719294748291E+12 
1510.00 6.0944538934070127E+12 
1520.00 6.1198266674181982E+12 
1530.00 6.1451795247896777E+12 
1540.00 6.1705170207501475E+12 
1550.00 6.1948554251984170E+12 
1560.00 6.2201915191051299E+12 
1570.00 6.2454737853739248E+12 
1580.00 6.2697729757393896E+12 
1590.00 6.2950237402673555E+12 
1600.00 6.3192811274434375E+12 
1610.00 6.3445038396992461E+12 
1620.00 6.3687241646792168E+12 
1630.00 6.3929300198663408E+12 
1640.00 6.4171110569175586E+12 
1650.00 6.4412761526145625E+12 
1660.00 6.4654131946548857E+12 
1670.00 6.4895309250689717E+12 
1680.00 6.5136235679375039E+12 
1690.00 6.5376942752881172E+12 
1700.00 6.5617372304799170E+12 
1710.00 6.5847791383174346E+12 
1720.00 6.6087630824461865E+12 
1730.00 6.6317441937236328E+12 
1740.00 6.6556813237210342E+12 
1750.00 6.6786004651172793E+12 
1760.00 6.7014904745461055E+12 
1770.00 6.7253132593062598E+12 
1780.00 6.7481201009038311E+12 
1790.00 6.7708957498916357E+12 
1800.00 6.7936252006690547E+12 
1810.00 6.8162990005766152E+12 
1820.00 6.8389377136364629E+12 
1830.00 6.8615174705766807E+12 
1840.00 6.8840369154870000E+12 
1850.00 6.9055185350591738E+12 
1860.00 6.9279097288637949E+12 
1870.00 6.9502282049393574E+12 
1880.00 6.9714918369797881E+12 
1890.00 6.9936444245089756E+12 
1900.00 7.0147257328398008E+12 
1910.00 7.0357021978232373E+12 
1920.00 7.0575394181048877E+12 
1930.00 7.0782708921845625E+12 
1940.00 7.0988565990535020E+12 
1950.00 7.1192782102720020E+12 
1960.00 7.1395134907645742E+12 
1970.00 7.1595341951423027E+12 
1980.00 7.1793073478220713E+12 
1990.00 7.1987912399270488E+12 
2000.00 7.2179331182455938E+12 
2010.00 7.2366655429122236E+12 
2020.00 7.2539275910773711E+12 
2030.00 7.2715435006656602E+12 
2040.00 7.2874036167927158E+12 
2050.00 7.3032108787248242E+12 
2060.00 7.3166592040290762E+12 
2070.00 7.3290962735885381E+12 
2080.00 7.3375698173680947E+12 
2090.00 7.3419179268713301E+12 
2100.00 7.3349600760637812E+12 
2110.00 7.2968919045454268E+12 
2120.00 6.8024351700939775E+12 
2130.00 6.7955456045052695E+12 
2140.00 6.9546769244819404E+12 
2150.00 7.0204392995412129E+12 
2160.00 7.0628648577731377E+12 
2170.00 7.0914454933628203E+12 
2180.00 7.1062149172802285E+12 
2190.00 7.0914203237168232E+12 
2200.00 6.9574169364524297E+12 
2210.00 7.0086006613959961E+12 
2220.00 7.0982281686787783E+12 
2230.00 7.1577975643835039E+12 
2240.00 7.2048685470321221E+12 
2250.00 7.2467732567992354E+12 
2260.00 7.2839594898438076E+12 
2270.00 7.3194200714492021E+12 
2280.00 7.3520212875905508E+12 
2290.00 7.3831089190448789E+12 
2300.00 7.4129627610377178E+12 
2310.00 7.4417472396660742E+12 
2320.00 7.4697356043122725E+12 
2330.00 7.4970540956989648E+12 
2340.00 7.5237906175870566E+12 
2350.00 7.5500143101963311E+12 
2360.00 7.5757867422429707E+12 
2370.00 7.6011550946612568E+12 
2380.00 7.6260819007154648E+12 
2390.00 7.6506976175406465E+12 
2400.00 7.6740975920801484E+12 
2410.00 7.6981529870914824E+12 
2420.00 7.7210329099708398E+12 
2430.00 7.7446118598987363E+12 
2440.00 7.7669792669586816E+12 
2450.00 7.7900770093521670E+12 
2460.00 7.8120571151454443E+12 
2470.00 7.8347794391870918E+12 
2480.00 7.8563872490359277E+12 
2490.00 7.8777732544718135E+12 
2500.00 7.8989462715883369E+12 
2510.00 7.9208701049357773E+12 
2520.00 7.9416779120858311E+12 
2530.00 7.9622903256496670E+12 
2540.00 7.9826483253927715E+12 
2550.00 8.0027289850310957E+12 
2560.00 8.0225383652628730E+12 
2570.00 8.0420428400374609E+12 
2580.00 8.0602734371032793E+12 
2590.00 8.0787674506602529E+12 
2600.00 8.0965516329708027E+12 
2610.00 8.1133097751352080E+12 
2620.00 8.1275947826131963E+12 
2630.00 8.1390211037100801E+12 
2640.00 8.1322058813142363E+12 
2650.00 8.0790815102989932E+12 
2660.00 8.1295491615287363E+12 
2670.00 8.1615718219307266E+12 
2680.00 8.1885220589575684E+12 
2690.00 8.2146100013983906E+12 
2700.00 8.2386070974572041E+12 
2710.00 8.2616748559263301E+12 
2720.00 8.2841573447153408E+12 
2730.00 8.3062716038826670E+12 
2740.00 8.3289999896870166E+12 
2750.00 8.3504369517693525E+12 
2760.00 8.3716807412087578E+12 
2770.00 8.3927407514329062E+12 
2780.00 8.4135902554322705E+12 
2790.00 8.4341427449297715E+12 
2800.00 8.4536480337637188E+12 
2810.00 8.4739817208032686E+12 
2820.00 8.4941942512539014E+12 
2830.00 8.5142852057492734E+12 
2840.00 8.5342982524577715E+12 
2850.00 8.5532979555276191E+12 
2860.00 8.5731031070900391E+12 
2870.00 8.5919343210983330E+12 
2880.00 8.6116558639606299E+12 
2890.00 8.6303153073855713E+12 
2900.00 8.6498292519247188E+12 
2910.00 8.6683426175145557E+12 
2920.00 8.6876713571469893E+12 
2930.00 8.7059531759321289E+12 
2940.00 8.7241459605595156E+12 
2950.00 8.7431294309163281E+12 
2960.00 8.7609956438818691E+12 
2970.00 8.7787109956261133E+12 
2980.00 8.7962019946836523E+12 
2990.00 8.8131874061067754E+12 
3000.00 8.8297342690603301E+12 
3010.00 8.8456596123568320E+12 
3020.00 8.8573050260430957E+12 
3030.00 8.8436604125839961E+12 
3040.00 8.8689762193163203E+12 
3050.00 8.8919006948681348E+12 
3060.00 8.9135532553716328E+12 
3070.00 8.9342106669581855E+12 
3080.00 8.9534180331892930E+12 
3090.00 8.9733370265065059E+12 
3100.00 8.9929715153558047E+12 
3110.00 9.0114828312142402E+12 
3120.00 9.0308294243868828E+12 
3130.00 9.0499972670702656E+12 
3140.00 9.0681318149684219E+12 
3150.00 9.0871398341906816E+12 
3160.00 9.1050490756330566E+12 
3170.00 9.1228819521246484E+12 
3180.00 9.1415618878415098E+12 
3190.00 9.1591361994562891E+12 
3200.00 9.1766624435425391E+12 
3210.00 9.1950365180348418E+12 
3220.00 9.2123498354838711E+12 
3230.00 9.2296009125629551E+12 
3240.00 9.2466592598925117E+12 
3250.00 9.2635633766908242E+12 
3260.00 9.2802968377338340E+12 
