#Energy[eV] Flux[ph/s/500mA/0.1%bW] 
100.00 1.0340191971906708E+12 
110.00 1.1016325238153889E+12 
120.00 1.1672185331732109E+12 
130.00 1.2317788997072048E+12 
140.00 1.2933198975485017E+12 
150.00 1.3548270945029387E+12 
160.00 1.4143073786817544E+12 
170.00 1.4717564197088306E+12 
180.00 1.5291604098380522E+12 
190.00 1.5845248250115562E+12 
200.00 1.6398256097860195E+12 
210.00 1.6930555266130039E+12 
220.00 1.7462012027933972E+12 
230.00 1.7982589168214861E+12 
240.00 1.8491275942427090E+12 
250.00 1.8988200055110430E+12 
260.00 1.9482281960283540E+12 
270.00 1.9960675627604126E+12 
280.00 2.0433488263002766E+12 
290.00 2.0856888969182590E+12 
300.00 2.1260283982976018E+12 
310.00 2.1169637661422510E+12 
320.00 2.1668503086491233E+12 
330.00 2.2087326723082231E+12 
340.00 2.2506990184575771E+12 
350.00 2.2943517659737559E+12 
360.00 2.3377703580996924E+12 
370.00 2.3816840176367100E+12 
380.00 2.4266569013492959E+12 
390.00 2.4704174103706758E+12 
400.00 2.5135986599813188E+12 
410.00 2.5577454611345298E+12 
420.00 2.6007671859519912E+12 
430.00 2.6427433789867700E+12 
440.00 2.6846659935524219E+12 
450.00 2.7263990550527822E+12 
460.00 2.7673752623367871E+12 
470.00 2.8074155122645059E+12 
480.00 2.8473642742589116E+12 
490.00 2.8837755397275620E+12 
500.00 2.9199674719551108E+12 
510.00 2.9640375754044663E+12 
520.00 3.0016661600050425E+12 
530.00 3.0440453555529956E+12 
540.00 3.0844655056343140E+12 
550.00 3.1244172006119790E+12 
560.00 3.1635482920721567E+12 
570.00 3.2027803806385840E+12 
580.00 3.2411397283538032E+12 
590.00 3.2791710463583223E+12 
600.00 3.3167480112678091E+12 
610.00 3.3534440651436299E+12 
620.00 3.3893807587445332E+12 
630.00 3.4234535026918135E+12 
640.00 3.4618975036545332E+12 
650.00 3.4990349645413828E+12 
660.00 3.5352856352006025E+12 
670.00 3.5725369413253379E+12 
680.00 3.6082631999385083E+12 
690.00 3.6440626282406279E+12 
700.00 3.6789637047657549E+12 
710.00 3.7149082061253677E+12 
720.00 3.7497276960728257E+12 
730.00 3.7843433439713281E+12 
740.00 3.8190217670851455E+12 
750.00 3.8537632483493496E+12 
760.00 3.8885680106754849E+12 
770.00 3.9222549701252876E+12 
780.00 3.9558048055983789E+12 
790.00 3.9894086843746260E+12 
800.00 4.0230670952770615E+12 
810.00 4.0567804894170425E+12 
820.00 4.0904696472007344E+12 
830.00 4.1229868060302881E+12 
840.00 4.1555512807889126E+12 
850.00 4.1891371555823877E+12 
860.00 4.2217979973931323E+12 
870.00 4.2535339338900415E+12 
880.00 4.2861182481229199E+12 
890.00 4.3186302372416807E+12 
900.00 4.3502107585571006E+12 
910.00 4.3818342431538906E+12 
920.00 4.4135012101019414E+12 
930.00 4.4452121628216377E+12 
940.00 4.4768057805702490E+12 
950.00 4.5083161903556357E+12 
960.00 4.5398639750101426E+12 
970.00 4.5704749214980352E+12 
980.00 4.6020988834495137E+12 
990.00 4.6327867997022783E+12 
1000.00 4.6634912425705713E+12 
1010.00 4.6940731945004521E+12 
1020.00 4.7246913556824219E+12 
1030.00 4.7543709777473447E+12 
1040.00 4.7850629785495801E+12 
1050.00 4.8157926828210859E+12 
1060.00 4.8455850209693271E+12 
1070.00 4.8753504777129551E+12 
1080.00 4.9049346210138691E+12 
1090.00 4.9345509041052275E+12 
1100.00 4.9641997921157959E+12 
1110.00 4.9938817463614141E+12 
1120.00 5.0235972242703311E+12 
1130.00 5.0523705644403428E+12 
1140.00 5.0821543499364512E+12 
1150.00 5.1107747462523057E+12 
1160.00 5.1403658104261963E+12 
1170.00 5.1690093960973896E+12 
