#Energy[eV] Flux[ph/s/500mA/0.1%bW] 
200.00 2.2941270957250249E+12 
210.00 2.3720847124192441E+12 
220.00 2.4491029457069121E+12 
230.00 2.5242472661273091E+12 
240.00 2.5981368920178672E+12 
250.00 2.6721635900999048E+12 
260.00 2.7442184689204233E+12 
270.00 2.8152116871654854E+12 
280.00 2.8863571994683599E+12 
290.00 2.9553302217565249E+12 
300.00 3.0245485053538677E+12 
310.00 3.0925191349182612E+12 
320.00 3.1597699236997324E+12 
330.00 3.2267895114109951E+12 
340.00 3.2920440651457314E+12 
350.00 3.3581630507913940E+12 
360.00 3.4223731419139463E+12 
370.00 3.4866653427559736E+12 
380.00 3.5498163238045303E+12 
390.00 3.6131780436557217E+12 
400.00 3.6753882247400259E+12 
410.00 3.7376614254377217E+12 
420.00 3.7991288174313540E+12 
430.00 3.8603151241318711E+12 
440.00 3.9206948106427397E+12 
450.00 3.9811784496004287E+12 
460.00 4.0404449232500571E+12 
470.00 4.0998651976181992E+12 
480.00 4.1584408407393633E+12 
490.00 4.2167312213598345E+12 
500.00 4.2741816993053120E+12 
510.00 4.3317751602828262E+12 
520.00 4.3891749195088911E+12 
530.00 4.4456093817060361E+12 
540.00 4.5021707336408770E+12 
550.00 4.5587707246458945E+12 
560.00 4.6141716584702148E+12 
570.00 4.6696842709833555E+12 
580.00 4.7243333461129395E+12 
590.00 4.7789190745047646E+12 
600.00 4.8333721305684648E+12 
610.00 4.8869464306747939E+12 
620.00 4.9406245467931836E+12 
630.00 4.9942522241194922E+12 
640.00 5.0477316475412539E+12 
650.00 5.1003212460227930E+12 
660.00 5.1530036507401182E+12 
670.00 5.2047728674813330E+12 
680.00 5.2572532787552881E+12 
690.00 5.3088330909686143E+12 
700.00 5.3604950308077422E+12 
710.00 5.4112606376015439E+12 
720.00 5.4619406620683486E+12 
730.00 5.5124903074383916E+12 
740.00 5.5631118087714961E+12 
750.00 5.6138071600181758E+12 
760.00 5.6635969785433984E+12 
770.00 5.7132762553726924E+12 
780.00 5.7618664238507012E+12 
790.00 5.8115021629681260E+12 
800.00 5.8602218836871709E+12 
810.00 5.9090088281040254E+12 
820.00 5.9577804495558477E+12 
830.00 6.0053675694712666E+12 
840.00 6.0539931652322559E+12 
850.00 6.1016944069708818E+12 
860.00 6.1494547622966855E+12 
870.00 6.1972756363562227E+12 
880.00 6.2439735863947998E+12 
890.00 6.2905891464416992E+12 
900.00 6.3372549923923574E+12 
910.00 6.3839722902690732E+12 
920.00 6.4307422136765283E+12 
930.00 6.4765830051850801E+12 
940.00 6.5232788551865225E+12 
950.00 6.5689002804177119E+12 
960.00 6.6135829694128867E+12 
970.00 6.6592941055585156E+12 
980.00 6.7050515963071045E+12 
990.00 6.7498730562910293E+12 
1000.00 6.7947294497698652E+12 
1010.00 6.8395395534650986E+12 
1020.00 6.8843963743408252E+12 
1030.00 6.9283171593455332E+12 
1040.00 6.9732702157693809E+12 
1050.00 7.0172889792569561E+12 
1060.00 7.0613581336183369E+12 
1070.00 7.1053911364696797E+12 
1080.00 7.1491796235030117E+12 
1090.00 7.1920243847440986E+12 
1100.00 7.2358946882883535E+12 
1110.00 7.2788227387943262E+12 
1120.00 7.3217936138298857E+12 
1130.00 7.3648081321462598E+12 
1140.00 7.4078671187472148E+12 
1150.00 7.4506591999439619E+12 
1160.00 7.4924534514506016E+12 
1170.00 7.5342830092446836E+12 
1180.00 7.5761485554177871E+12 
1190.00 7.6180507775980771E+12 
1200.00 7.6599903690108398E+12 
1210.00 7.7019680285398115E+12 
1220.00 7.7439844607892412E+12 
1230.00 7.7847146497277832E+12 
1240.00 7.8254714603510771E+12 
1250.00 7.8662587946956084E+12 
1260.00 7.9070772399639502E+12 
1270.00 7.9479273885597783E+12 
1280.00 7.9888098381478242E+12 
1290.00 8.0297251917145635E+12 
1300.00 8.0696883866407881E+12 
1310.00 8.1094943124030576E+12 
1320.00 8.1491842592996738E+12 
1330.00 8.1898859791149424E+12 
1340.00 8.2286426369713838E+12 
1350.00 8.2684121017332793E+12 
1360.00 8.3082091150900566E+12 
1370.00 8.3470482576369482E+12 
1380.00 8.3869019148755264E+12 
1390.00 8.4257986739155234E+12 
1400.00 8.4645281423192500E+12 
1410.00 8.5031335697540889E+12 
1420.00 8.5417609557998379E+12 
1430.00 8.5804107691038203E+12 
1440.00 8.6180973188019258E+12 
1450.00 8.6567933883905039E+12 
1460.00 8.6945271016054287E+12 
1470.00 8.7332713609765723E+12 
1480.00 8.7710541847295557E+12 
1490.00 8.8088622903182402E+12 
1500.00 8.8463186376585488E+12 
1510.00 8.8827867058445938E+12 
1520.00 8.9202586405637539E+12 
1530.00 8.9577485708827207E+12 
1540.00 8.9942706327130664E+12 
1550.00 9.0308116031482090E+12 
1560.00 9.0683582832355195E+12 
1570.00 9.1049384877469824E+12 
1580.00 9.1415390258218027E+12 
1590.00 9.1781603872771465E+12 
1600.00 9.2134154890236758E+12 
1610.00 9.2494666640950684E+12 
1620.00 9.2855257808431270E+12 
1630.00 9.3206070419961133E+12 
1640.00 9.3556971550697949E+12 
1650.00 9.3917826622442520E+12 
1660.00 9.4268917241286387E+12 
1670.00 9.4620109489807285E+12 
1680.00 9.4971407977994395E+12 
1690.00 9.5322817444184629E+12 
1700.00 9.5664483490423027E+12 
1710.00 9.6003374188327520E+12 
1720.00 9.6325632341704121E+12 
1730.00 9.6657001644334492E+12 
1740.00 9.6977742703887637E+12 
1750.00 9.7297677855439512E+12 
1760.00 9.7616772183131094E+12 
1770.00 9.7934988665398750E+12 
1780.00 9.8252288013845254E+12 
1790.00 9.8568628497147344E+12 
1800.00 9.8834794208952090E+12 
1810.00 9.9134279888910469E+12 
1820.00 9.9305583460660547E+12 
1830.00 9.9377755872338418E+12 
1840.00 9.1202166530310645E+12 
1850.00 8.1927854489123662E+12 
1860.00 8.3779201538858096E+12 
1870.00 8.5541075849016260E+12 
1880.00 8.6706940537651250E+12 
1890.00 8.7347050342469336E+12 
1900.00 8.8061409548371973E+12 
1910.00 8.8681411403746250E+12 
1920.00 8.9291746823947227E+12 
1930.00 8.9978475885214902E+12 
1940.00 9.0570882888065254E+12 
1950.00 9.1093051579909355E+12 
1960.00 9.1587903871288047E+12 
1970.00 9.1996457343642480E+12 
1980.00 9.2404966019602793E+12 
1990.00 9.2900244669768320E+12 
2000.00 9.3308778513045977E+12 
2010.00 9.3717244341411719E+12 
2020.00 9.4125635512877969E+12 
2030.00 9.4621315404504336E+12 
2040.00 9.5029673522435996E+12 
2050.00 9.5437938470247031E+12 
2060.00 9.5846105052650273E+12 
2070.00 9.6342071750492969E+12 
2080.00 9.6750158678103691E+12 
2090.00 9.7098957308968066E+12 
2100.00 9.7443925338009102E+12 
2110.00 9.7789776316546191E+12 
2120.00 9.8224838068792949E+12 
2130.00 9.8572517528284473E+12 
2140.00 9.8921068784256367E+12 
2150.00 9.9270488025456875E+12 
2160.00 9.9620771461305898E+12 
2170.00 9.9971915322175996E+12 
2180.00 1.0041269808608342E+13 
2190.00 1.0076562792523545E+13 
2200.00 1.0111940735314387E+13 
2210.00 1.0147403268056312E+13 
2220.00 1.0182950024047707E+13 
2230.00 1.0216536221315734E+13 
2240.00 1.0248665584466422E+13 
2250.00 1.0280884186671541E+13 
2260.00 1.0313192144834932E+13 
2270.00 1.0345589574425281E+13 
2280.00 1.0378076589497543E+13 
2290.00 1.0419597162939771E+13 
2300.00 1.0452268685541566E+13 
2310.00 1.0485030178731598E+13 
2320.00 1.0517881750819064E+13 
2330.00 1.0550823508805170E+13 
2340.00 1.0583855558403287E+13 
2350.00 1.0616978004058926E+13 
2360.00 1.0650190948969473E+13 
2370.00 1.0683494495103805E+13 
2380.00 1.0716251179580502E+13 
2390.00 1.0746852630714277E+13 
2400.00 1.0777528093887387E+13 
2410.00 1.0799278441266355E+13 
2420.00 1.0830099562765568E+13 
2430.00 1.0860995461135221E+13 
2440.00 1.0891966405803094E+13 
2450.00 1.0923012665692729E+13 
2460.00 1.0954134509231764E+13 
2470.00 1.0985332204360240E+13 
2480.00 1.1016606018538875E+13 
2490.00 1.1047956218757268E+13 
2500.00 1.1079383071542088E+13 
2510.00 1.1110886842965248E+13 
2520.00 1.1133430922902859E+13 
2530.00 1.1165085648607826E+13 
2540.00 1.1196818043613781E+13 
2550.00 1.1227062943785318E+13 
2560.00 1.1257016954232162E+13 
2570.00 1.1287033794263881E+13 
2580.00 1.1317113761186830E+13 
2590.00 1.1338201081263961E+13 
2600.00 1.1368405774820043E+13 
2610.00 1.1398674448540658E+13 
2620.00 1.1429007400247477E+13 
2630.00 1.1459404927895938E+13 
2640.00 1.1480798768153637E+13 
2650.00 1.1511323726458781E+13 
2660.00 1.1541914116338906E+13 
2670.00 1.1572570236392627E+13 
2680.00 1.1603292385384877E+13 
2690.00 1.1624998831916133E+13 
2700.00 1.1655851125021045E+13 
2710.00 1.1686770305525443E+13 
2720.00 1.1717343750666826E+13 
2730.00 1.1737803475553887E+13 
2740.00 1.1767407549577479E+13 
2750.00 1.1797066003230223E+13 
2760.00 1.1817681603966375E+13 
2770.00 1.1847447787047264E+13 
2780.00 1.1877269187117332E+13 
2790.00 1.1907146095416777E+13 
2800.00 1.1927973480388670E+13 
2810.00 1.1957960246637887E+13 
2820.00 1.1988003364139781E+13 
2830.00 1.2008991599810799E+13 
2840.00 1.2039146165083043E+13 
2850.00 1.2069357929081646E+13 
2860.00 1.2090509155452795E+13 
2870.00 1.2120833966167986E+13 
2880.00 1.2142094292547162E+13 
2890.00 1.2172533198834648E+13 
2900.00 1.2203030715486971E+13 
2910.00 1.2223869517512902E+13 
2920.00 1.2253360117203914E+13 
2930.00 1.2282899700922301E+13 
2940.00 1.2303354652592143E+13 
2950.00 1.2332991381926146E+13 
2960.00 1.2353540666048150E+13 
2970.00 1.2383275538315422E+13 
2980.00 1.2403920036905914E+13 
2990.00 1.2433754054545783E+13 
3000.00 1.2463638923907393E+13 
3010.00 1.2484428825376100E+13 
3020.00 1.2514414383108041E+13 
3030.00 1.2535301756060408E+13 
3040.00 1.2565389017864660E+13 
3050.00 1.2586374762541750E+13 
