#Energy[eV] Flux[ph/s/500mA/0.1%bW] 
100.00 1.4787696002886621E+12 
110.00 1.5759670047876599E+12 
120.00 1.6711026872300483E+12 
130.00 1.7622004603869326E+12 
140.00 1.8522379144154507E+12 
150.00 1.9392241714515740E+12 
160.00 2.0241493693136697E+12 
170.00 2.1079968443244326E+12 
180.00 2.1897648766773237E+12 
190.00 2.2694445749343135E+12 
200.00 2.3480002987567051E+12 
210.00 2.4253940608353887E+12 
220.00 2.5016212407537153E+12 
230.00 2.5756713901331797E+12 
240.00 2.6483263890835698E+12 
250.00 2.7206012421347310E+12 
260.00 2.7903086736081372E+12 
270.00 2.8578350484350996E+12 
280.00 2.9242082035907173E+12 
290.00 2.9824900177328672E+12 
300.00 3.0346151146755400E+12 
310.00 2.9885551044387822E+12 
320.00 3.0604393579944316E+12 
330.00 3.1198997054500713E+12 
340.00 3.1776469523527935E+12 
350.00 3.2397753469558936E+12 
360.00 3.3014998448386729E+12 
370.00 3.3642341690245322E+12 
380.00 3.4281883243818940E+12 
390.00 3.4916272459676592E+12 
400.00 3.5549031562514878E+12 
410.00 3.6181905660844194E+12 
420.00 3.6801997195854404E+12 
430.00 3.7420402251498740E+12 
440.00 3.8028269476613530E+12 
450.00 3.8632270984192095E+12 
460.00 3.9211300586826675E+12 
470.00 3.9790904206986274E+12 
480.00 4.0359151888065938E+12 
490.00 4.0854974399386567E+12 
500.00 4.1356615501353755E+12 
510.00 4.2019470158787983E+12 
520.00 4.2550456134746504E+12 
530.00 4.3189060189039756E+12 
540.00 4.3787563146699844E+12 
550.00 4.4376494958560166E+12 
560.00 4.4939077281927656E+12 
570.00 4.5503735768056621E+12 
580.00 4.6060814913263525E+12 
590.00 4.6611166641103125E+12 
600.00 4.7152191199517480E+12 
610.00 4.7685474049604062E+12 
620.00 4.8203157673536865E+12 
630.00 4.8682555308605654E+12 
640.00 4.9251768605408418E+12 
650.00 4.9784576639479072E+12 
660.00 5.0319099334324053E+12 
670.00 5.0844679787761729E+12 
680.00 5.1368432696926553E+12 
690.00 5.1884115481671953E+12 
700.00 5.2401299429390947E+12 
710.00 5.2910386464358809E+12 
720.00 5.3416313311121572E+12 
730.00 5.3918047531586914E+12 
740.00 5.4421077018673516E+12 
750.00 5.4925408190241055E+12 
760.00 5.5421442803235850E+12 
770.00 5.5914483897960996E+12 
780.00 5.6395096693374443E+12 
790.00 5.6886431916723770E+12 
800.00 5.7369283446511631E+12 
810.00 5.7853268120904961E+12 
820.00 5.8336753420223877E+12 
830.00 5.8806526988928672E+12 
840.00 5.9286895001870947E+12 
850.00 5.9758634131680107E+12 
860.00 6.0231372212422031E+12 
870.00 6.0705119827244893E+12 
880.00 6.1166659615496084E+12 
890.00 6.1626705781041777E+12 
900.00 6.2087628774230107E+12 
910.00 6.2549440038484492E+12 
920.00 6.3012150705165938E+12 
930.00 6.3466139456567031E+12 
940.00 6.3927339731671523E+12 
950.00 6.4377189780922412E+12 
960.00 6.4818174884380352E+12 
970.00 6.5269575443923887E+12 
980.00 6.5721767404911465E+12 
990.00 6.6165121495572656E+12 
1000.00 6.6608817291687803E+12 
1010.00 6.7049984250006875E+12 
1020.00 6.7491898994879229E+12 
1030.00 6.7924927849129834E+12 
1040.00 6.8368368619922012E+12 
1050.00 6.8802941522521104E+12 
1060.00 6.9238300826733203E+12 
1070.00 6.9673106800744463E+12 
1080.00 7.0104168249683535E+12 
1090.00 7.0526242674593262E+12 
1100.00 7.0958642625457969E+12 
1110.00 7.1382072924341006E+12 
1120.00 7.1806194911561768E+12 
1130.00 7.2231017978948027E+12 
1140.00 7.2656551442363691E+12 
1150.00 7.3078216362978955E+12 
1160.00 7.3490106037543486E+12 
1170.00 7.3902590542897305E+12 
1180.00 7.4315678352895703E+12 
1190.00 7.4729377903683584E+12 
1200.00 7.5143697592774072E+12 
