#Beamline acceptance: 152 X 210 urad²
#Energy[eV]	Flux[ph/s/eV/100mA] 
50.00	2.133305E+12 
60.00	2.790200E+12 
70.00	4.418499E+12 
80.00	1.922633E+13 
90.00	4.326875E+15 
100.00	8.556076E+12 
110.00	2.715802E+12 
120.00	1.355870E+12 
130.00	7.450139E+11 
140.00	6.363652E+11 
150.00	6.623223E+11 
160.00	8.336200E+11 
170.00	3.087324E+12 
180.00	5.645401E+13 
190.00	9.726781E+11 
200.00	5.023726E+11 
210.00	4.391418E+11 
220.00	4.829948E+11 
230.00	6.403545E+11 
240.00	1.052506E+12 
250.00	2.434487E+12 
260.00	2.280789E+13 
270.00	6.487454E+14 
280.00	3.825283E+12 
290.00	1.257460E+12 
300.00	7.051879E+11 
310.00	5.279154E+11 
320.00	5.162831E+11 
330.00	6.940090E+11 
340.00	1.613088E+12 
350.00	1.635283E+14 
360.00	4.585038E+13 
370.00	1.300100E+12 
380.00	5.613307E+11 
390.00	3.955045E+11 
400.00	3.733452E+11 
410.00	4.498639E+11 
420.00	7.159390E+11 
430.00	1.900353E+12 
440.00	2.081766E+14 
450.00	2.636164E+14 
460.00	1.997921E+12 
470.00	7.583445E+11 
480.00	4.931238E+11 
490.00	4.431924E+11 
500.00	5.308886E+11 
510.00	9.133534E+11 
520.00	7.741784E+12 
530.00	3.284432E+14 
540.00	4.102672E+13 
550.00	1.313768E+12 
560.00	5.712563E+11 
570.00	3.846586E+11 
580.00	3.433049E+11 
590.00	3.998123E+11 
600.00	6.836935E+11 
610.00	1.300721E+13 
620.00	1.907204E+14 
630.00	1.430643E+14 
640.00	1.237310E+12 
650.00	5.247718E+11 
660.00	3.793818E+11 
670.00	3.797396E+11 
680.00	5.129110E+11 
690.00	1.124059E+12 
700.00	5.905741E+13 
710.00	2.835290E+14 
720.00	3.716127E+13 
730.00	1.125587E+12 
740.00	5.155515E+11 
750.00	3.643286E+11 
760.00	3.470818E+11 
770.00	4.594759E+11 
780.00	3.871303E+12 
790.00	5.713423E+13 
800.00	1.757085E+14 
810.00	8.872815E+13 
820.00	9.314123E+11 
830.00	4.286958E+11 
840.00	3.244735E+11 
850.00	3.375345E+11 
860.00	5.240460E+11 
870.00	3.255671E+12 
880.00	1.026900E+14 
890.00	2.060472E+14 
900.00	3.367232E+13 
910.00	9.006648E+11 
920.00	4.400475E+11 
930.00	3.388055E+11 
940.00	3.642244E+11 
950.00	7.499017E+11 
960.00	2.324499E+13 
970.00	1.100762E+14 
980.00	1.698902E+14 
990.00	5.955926E+13 
1000.00	7.846617E+11 
1010.00	3.856544E+11 
1020.00	3.026684E+11 
1030.00	3.416549E+11 
1040.00	1.935932E+12 
1050.00	1.506328E+13 
1060.00	9.611487E+13 
1070.00	1.466631E+14 
1080.00	3.037469E+13 
1090.00	7.270628E+11 
1100.00	3.782731E+11 
1110.00	3.155839E+11 
1120.00	4.111714E+11 
1130.00	2.815387E+12 
1140.00	4.311723E+13 
1150.00	1.065451E+14 
1160.00	1.543412E+14 
1170.00	4.226443E+13 
1180.00	6.801956E+11 
1190.00	3.576071E+11 
1200.00	3.032065E+11 
1210.00	6.748234E+11 
1220.00	8.594180E+12 
1230.00	4.124389E+13 
1240.00	9.167642E+13 
1250.00	1.106744E+14 
1260.00	2.709586E+13 
1270.00	6.090057E+11 
1280.00	3.336914E+11 
1290.00	3.221123E+11 
1300.00	9.303229E+11 
1310.00	9.511430E+12 
1320.00	5.459080E+13 
1330.00	8.912003E+13 
1340.00	1.330188E+14 
1350.00	3.161744E+13 
1360.00	5.906910E+11 
1370.00	3.336366E+11 
1380.00	3.391869E+11 
1390.00	2.687748E+12 
1400.00	1.778428E+13 
1410.00	5.899134E+13 
1420.00	9.113447E+13 
1430.00	9.006626E+13 
1440.00	2.404455E+13 
1450.00	5.356400E+11 
1460.00	3.172740E+11 
1470.00	6.238859E+11 
1480.00	3.234747E+12 
1490.00	2.015576E+13 
1500.00	5.745604E+13 
1510.00	7.380994E+13 
1520.00	1.113093E+14 
1530.00	2.468508E+13 
1540.00	5.460390E+11 
1550.00	3.687610E+11 
1560.00	6.501147E+11 
1570.00	7.250820E+12 
1580.00	2.651074E+13 
1590.00	5.814756E+13 
1600.00	8.642096E+13 
1610.00	7.761919E+13 
1620.00	2.102506E+13 
1630.00	4.963870E+11 
1640.00	3.715902E+11 
1650.00	2.082997E+12 
1660.00	7.676747E+12 
1670.00	3.082849E+13 
1680.00	5.582057E+13 
1690.00	6.458235E+13 
1700.00	9.210177E+13 
1710.00	2.009872E+13 
1720.00	4.779865E+11 
1730.00	5.343030E+11 
1740.00	1.770788E+12 
1750.00	1.246804E+13 
1760.00	3.491271E+13 
1770.00	5.232399E+13 
1780.00	7.706363E+13 
1790.00	6.883069E+13 
1800.00	1.830340E+13 
1810.00	4.647237E+11 
1820.00	6.788020E+11 
1830.00	4.672812E+12 
1840.00	1.351239E+13 
1850.00	3.713179E+13 
1860.00	5.390727E+13 
1870.00	5.971965E+13 
1880.00	7.621605E+13 
1890.00	1.697177E+13 
1900.00	5.210847E+11 
1910.00	1.331288E+12 
1920.00	4.323083E+12 
1930.00	1.733187E+13 
1940.00	3.790650E+13 
1950.00	4.745654E+13 
1960.00	6.617435E+13 
1970.00	6.164481E+13 
1980.00	1.589871E+13 
1990.00	5.571264E+11 
2000.00	1.531404E+12 
2010.00	7.726766E+12 
2020.00	1.979094E+13 
2030.00	3.734603E+13 
2040.00	5.054964E+13 
2050.00	5.648561E+13 
2060.00	6.364969E+13 
2070.00	1.476661E+13 
2080.00	8.550060E+11 
2090.00	2.723001E+12 
2100.00	8.071390E+12 
2110.00	2.230982E+13 
2120.00	3.717831E+13 
2130.00	4.461910E+13 
2140.00	5.630219E+13 
2150.00	5.512880E+13 
2160.00	1.390028E+13 
2170.00	9.386431E+11 
2180.00	3.339036E+12 
2190.00	1.052435E+13 
2200.00	2.463776E+13 
2210.00	3.523000E+13 
2220.00	4.577402E+13 
2230.00	5.308673E+13 
2240.00	5.387195E+13 
2250.00	1.312291E+13 
2260.00	1.553912E+12 
2270.00	4.608981E+12 
2280.00	1.193430E+13 
2290.00	2.567817E+13 
2300.00	3.539244E+13 
2310.00	4.291407E+13 
2320.00	4.853809E+13 
2330.00	4.903766E+13 
2340.00	1.240544E+13 
2350.00	1.797128E+12 
2360.00	5.537907E+12 
2370.00	1.365329E+13 
2380.00	2.654595E+13 
2390.00	3.332787E+13 
2400.00	4.079277E+13 
2410.00	4.901975E+13 
2420.00	4.629857E+13 
2430.00	1.198829E+13 
2440.00	2.746435E+12 
2450.00	6.652276E+12 
2460.00	1.547471E+13 
2470.00	2.623432E+13 
2480.00	3.305370E+13 
2490.00	4.112054E+13 
2500.00	4.284376E+13 
2510.00	4.344173E+13 
2520.00	1.148972E+13 
2530.00	2.993344E+12 
2540.00	7.885490E+12 
2550.00	1.681924E+13 
2560.00	2.622710E+13 
2570.00	3.200298E+13 
2580.00	3.662016E+13 
2590.00	4.452178E+13 
2600.00	4.044035E+13 
2610.00	1.144020E+13 
2620.00	4.197693E+12 
2630.00	8.824850E+12 
2640.00	1.820327E+13 
2650.00	2.543285E+13 
2660.00	3.051633E+13 
2670.00	3.865007E+13 
2680.00	3.869890E+13 
2690.00	3.850234E+13 
2700.00	1.103368E+13 
2710.00	4.582269E+12 
2720.00	1.008127E+13 
2730.00	1.886760E+13 
2740.00	2.499629E+13 
2750.00	3.080003E+13 
2760.00	3.354401E+13 
2770.00	4.008349E+13 
2780.00	3.594390E+13 
2790.00	1.138675E+13 
2800.00	5.587564E+12 
2810.00	1.109986E+13 
2820.00	1.942495E+13 
2830.00	2.445449E+13 
2840.00	2.825814E+13 
2850.00	3.559746E+13 
2860.00	3.553797E+13 
2870.00	3.428901E+13 
2880.00	1.101347E+13 
2890.00	6.205008E+12 
2900.00	1.222622E+13 
2910.00	1.941529E+13 
2920.00	2.353596E+13 
