#Energy[eV]	Flux[ph/s/100mA] 
9000.000	7.530975E+12 
27000.000	2.018693E+08 
36000.000	4.233916E+06 
45000.000	6.894582E+04 
63000.000	1.293299E+02 
72000.000	9.001180E+00 
81000.000	4.517998E-01 
99000.000	3.266155E-03 
108000.000	2.545348E-04 
117000.000	1.945267E-05 
135000.000	1.395919E-07 
144000.000	2.123345E-08 
153000.000	2.954731E-09 
171000.000	1.224489E-09 
180000.000	7.946075E-10 
189000.000	5.514585E-10 
207000.000	1.184526E-10 
216000.000	2.728138E-10 
225000.000	9.891283E-11 
243000.000	2.373880E-11 
252000.000	6.686696E-11 
261000.000	4.049839E-11 
279000.000	9.643726E-12 
288000.000	4.513128E-11 
297000.000	5.704002E-14 
315000.000	1.036322E-11 
324000.000	1.353084E-11 
333000.000	7.565005E-12 
351000.000	6.953008E-15 
360000.000	2.341779E-15 
369000.000	1.839879E-15 
387000.000	6.124829E-16 
396000.000	1.725334E-16 
