#Energy[eV]	Flux[ph/s/0.1%bw/100mA] 
100.00	0.000000E+00 
110.00	0.000000E+00 
120.00	0.000000E+00 
130.00	0.000000E+00 
140.00	0.000000E+00 
150.00	0.000000E+00 
160.00	0.000000E+00 
170.00	0.000000E+00 
180.00	0.000000E+00 
190.00	0.000000E+00 
200.00	0.000000E+00 
210.00	0.000000E+00 
220.00	0.000000E+00 
230.00	0.000000E+00 
240.00	0.000000E+00 
250.00	0.000000E+00 
260.00	0.000000E+00 
270.00	0.000000E+00 
280.00	0.000000E+00 
290.00	0.000000E+00 
300.00	0.000000E+00 
310.00	0.000000E+00 
320.00	0.000000E+00 
330.00	0.000000E+00 
340.00	0.000000E+00 
350.00	0.000000E+00 
360.00	0.000000E+00 
370.00	0.000000E+00 
380.00	0.000000E+00 
390.00	0.000000E+00 
400.00	0.000000E+00 
410.00	0.000000E+00 
420.00	0.000000E+00 
430.00	0.000000E+00 
440.00	0.000000E+00 
450.00	0.000000E+00 
460.00	0.000000E+00 
470.00	0.000000E+00 
480.00	0.000000E+00 
490.00	0.000000E+00 
500.00	0.000000E+00 
510.00	0.000000E+00 
520.00	0.000000E+00 
530.00	0.000000E+00 
540.00	0.000000E+00 
550.00	0.000000E+00 
560.00	0.000000E+00 
570.00	0.000000E+00 
580.00	0.000000E+00 
590.00	0.000000E+00 
600.00	0.000000E+00 
610.00	0.000000E+00 
620.00	0.000000E+00 
630.00	0.000000E+00 
640.00	0.000000E+00 
650.00	0.000000E+00 
660.00	0.000000E+00 
670.00	0.000000E+00 
680.00	0.000000E+00 
690.00	0.000000E+00 
700.00	0.000000E+00 
710.00	0.000000E+00 
720.00	0.000000E+00 
730.00	0.000000E+00 
740.00	0.000000E+00 
750.00	0.000000E+00 
760.00	0.000000E+00 
770.00	0.000000E+00 
780.00	0.000000E+00 
790.00	0.000000E+00 
800.00	0.000000E+00 
810.00	0.000000E+00 
820.00	0.000000E+00 
830.00	3.501278E+10 
840.00	3.786386E+10 
850.00	3.846634E+10 
860.00	3.661538E+10 
870.00	4.114590E+10 
880.00	3.829969E+10 
890.00	4.039848E+10 
900.00	4.267220E+10 
910.00	3.949930E+10 
920.00	4.489087E+10 
930.00	4.269308E+10 
940.00	4.343772E+10 
950.00	4.780597E+10 
960.00	4.345248E+10 
970.00	4.917801E+10 
980.00	4.849569E+10 
990.00	4.730362E+10 
1000.00	5.398042E+10 
1010.00	4.893748E+10 
1020.00	5.419871E+10 
1030.00	5.596027E+10 
1040.00	5.239988E+10 
1050.00	6.128160E+10 
1060.00	5.648018E+10 
1070.00	6.024309E+10 
1080.00	6.550625E+10 
1090.00	5.946969E+10 
1100.00	7.008050E+10 
1110.00	6.686812E+10 
1120.00	6.799397E+10 
1130.00	7.763901E+10 
1140.00	6.952807E+10 
1150.00	8.089669E+10 
1160.00	8.112273E+10 
1170.00	7.845343E+10 
1180.00	9.319773E+10 
1190.00	8.406190E+10 
1200.00	9.472995E+10 
1210.00	1.007764E+11 
1220.00	9.337640E+10 
