#Energy[eV]	Harmonic	K	B[T]	Sx[um]	Sy[um]	Sx[urad]	Sy[urad]
2000.000	01	1.372904	0.668339	65.740	8.947	12.882	12.336
2500.000	01	1.052565	0.512396	65.633	8.118	11.647	11.039
3000.000	01	0.768057	0.373895	65.561	7.514	10.745	10.083
3500.000	01	0.468960	0.228293	65.509	7.052	10.051	9.340
4000.000	00	0.000000	0.000000	nan	nan	nan	nan
4500.000	00	0.000000	0.000000	nan	nan	nan	nan
5000.000	03	1.631515	0.794232	65.424	6.205	10.476	9.796
5500.000	03	1.496007	0.728266	65.403	5.987	10.054	9.343
6000.000	03	1.372904	0.668339	65.386	5.800	9.688	8.949
6500.000	03	1.259377	0.613073	65.372	5.636	9.367	8.601
7000.000	03	1.153207	0.561389	65.360	5.492	9.084	8.291
7500.000	03	1.052565	0.512396	65.349	5.363	8.830	8.012
8000.000	05	1.689995	0.822701	65.348	5.350	10.118	9.412
8500.000	05	1.603257	0.780476	65.339	5.243	9.859	9.133
9000.000	05	1.522011	0.740925	65.332	5.145	9.623	8.878
9500.000	05	1.445453	0.703656	65.325	5.057	9.406	8.643
10000.000	05	1.372904	0.668339	65.319	4.976	9.208	8.426
10500.000	05	1.303792	0.634695	65.313	4.901	9.024	8.225
11000.000	05	1.237617	0.602480	65.308	4.832	8.854	8.038
11500.000	07	1.652090	0.804249	65.311	4.875	9.801	9.071
12000.000	07	1.591334	0.774672	65.306	4.812	9.626	8.882
12500.000	07	1.533314	0.746427	65.302	4.754	9.462	8.704
13000.000	07	1.477736	0.719372	65.298	4.700	9.309	8.536
13500.000	07	1.424342	0.693379	65.294	4.649	9.164	8.378
14000.000	07	1.372904	0.668339	65.291	4.602	9.027	8.229
14500.000	09	1.680057	0.817863	65.295	4.660	9.776	9.044
15000.000	09	1.631515	0.794232	65.292	4.616	9.637	8.893
15500.000	09	1.584758	0.771471	65.289	4.574	9.505	8.750
16000.000	09	1.539635	0.749504	65.286	4.534	9.379	8.613
16500.000	09	1.496007	0.728266	65.284	4.496	9.259	8.483
17000.000	09	1.453750	0.707695	65.281	4.460	9.145	8.358
17500.000	11	1.698185	0.826688	65.285	4.521	9.762	9.029
18000.000	11	1.657761	0.807009	65.283	4.487	9.646	8.904
18500.000	11	1.618592	0.787942	65.281	4.454	9.536	8.783
19000.000	11	1.580591	0.769442	65.279	4.423	9.429	8.668
19500.000	11	1.543673	0.751470	65.277	4.393	9.328	8.557
20000.000	11	1.507764	0.733990	65.275	4.364	9.230	8.451
20500.000	11	1.472795	0.716966	65.273	4.337	9.136	8.348
21000.000	13	1.676256	0.816013	65.277	4.394	9.655	8.912
21500.000	13	1.642552	0.799605	65.275	4.368	9.559	8.809
22000.000	13	1.609722	0.783624	65.273	4.342	9.467	8.709
22500.000	13	1.577713	0.768041	65.272	4.318	9.379	8.613
23000.000	13	1.546476	0.752835	65.270	4.294	9.293	8.519
23500.000	13	1.515965	0.737982	65.269	4.271	9.210	8.429
24000.000	15	1.689995	0.822701	65.272	4.323	9.661	8.920
24500.000	15	1.660416	0.808301	65.271	4.301	9.578	8.829
25000.000	15	1.631515	0.794232	65.269	4.280	9.496	8.741
25500.000	15	1.603257	0.780476	65.268	4.259	9.418	8.656
26000.000	15	1.575607	0.767016	65.267	4.239	9.342	8.573
26500.000	15	1.548536	0.753837	65.265	4.220	9.268	8.492
27000.000	17	1.700604	0.827865	65.268	4.267	9.667	8.926
27500.000	17	1.674248	0.815035	65.267	4.248	9.592	8.845
28000.000	17	1.648435	0.802469	65.266	4.229	9.520	8.766
28500.000	17	1.623138	0.790154	65.265	4.212	9.449	8.690
29000.000	17	1.598334	0.778080	65.264	4.194	9.381	8.615
29500.000	17	1.573999	0.766233	65.263	4.177	9.314	8.542
30000.000	19	1.709044	0.831974	65.265	4.220	9.671	8.931
30500.000	19	1.685278	0.820404	65.264	4.203	9.604	8.858
31000.000	19	1.661955	0.809051	65.263	4.187	9.539	8.787
31500.000	19	1.639056	0.797904	65.262	4.172	9.475	8.717
32000.000	19	1.616564	0.786954	65.261	4.156	9.412	8.649
32500.000	19	1.594461	0.776194	65.260	4.142	9.352	8.583
33000.000	19	1.572731	0.765616	65.259	4.127	9.292	8.519
33500.000	21	1.694278	0.824786	65.262	4.166	9.614	8.869
34000.000	21	1.673007	0.814431	65.261	4.151	9.554	8.804
34500.000	21	1.652090	0.804249	65.260	4.137	9.496	8.740
35000.000	21	1.631515	0.794232	65.259	4.124	9.439	8.678
