#     Energy       Flux            PL            PC          PL45
#         eV  ph/s/0.1%             -             -             -
1.00000e+03  4.625e+12  6.061968e-01  0.000000e+00  0.000000e+00
1.09985e+03  4.824e+12  6.019990e-01  0.000000e+00  0.000000e+00
1.19970e+03  5.002e+12  5.988456e-01  0.000000e+00  0.000000e+00
1.29955e+03  5.162e+12  5.965401e-01  0.000000e+00  0.000000e+00
1.39940e+03  5.307e+12  5.949285e-01  0.000000e+00  0.000000e+00
1.49925e+03  5.437e+12  5.938881e-01  0.000000e+00  0.000000e+00
1.59910e+03  5.555e+12  5.933201e-01  0.000000e+00  0.000000e+00
1.69895e+03  5.663e+12  5.931441e-01  0.000000e+00  0.000000e+00
1.79880e+03  5.760e+12  5.932942e-01  0.000000e+00  0.000000e+00
1.89865e+03  5.849e+12  5.937187e-01  0.000000e+00  0.000000e+00
1.99850e+03  5.930e+12  5.943680e-01  0.000000e+00  0.000000e+00
2.09835e+03  6.004e+12  5.952057e-01  0.000000e+00  0.000000e+00
2.19820e+03  6.072e+12  5.962002e-01  0.000000e+00  0.000000e+00
2.29805e+03  6.134e+12  5.973247e-01  0.000000e+00  0.000000e+00
2.39790e+03  6.191e+12  5.985567e-01  0.000000e+00  0.000000e+00
2.49775e+03  6.244e+12  5.998771e-01  0.000000e+00  0.000000e+00
2.59760e+03  6.292e+12  6.012697e-01  0.000000e+00  0.000000e+00
2.69745e+03  6.336e+12  6.027217e-01  0.000000e+00  0.000000e+00
2.79730e+03  6.377e+12  6.042203e-01  0.000000e+00  0.000000e+00
2.89715e+03  6.415e+12  6.057562e-01  0.000000e+00  0.000000e+00
2.99700e+03  6.449e+12  6.073210e-01  0.000000e+00  0.000000e+00
3.09685e+03  6.481e+12  6.089078e-01  0.000000e+00  0.000000e+00
3.19670e+03  6.510e+12  6.105106e-01  0.000000e+00  0.000000e+00
3.29655e+03  6.537e+12  6.121242e-01  0.000000e+00  0.000000e+00
3.39640e+03  6.562e+12  6.137446e-01  0.000000e+00  0.000000e+00
3.49625e+03  6.585e+12  6.153680e-01  0.000000e+00  0.000000e+00
3.59610e+03  6.606e+12  6.169915e-01  0.000000e+00  0.000000e+00
3.69595e+03  6.625e+12  6.186125e-01  0.000000e+00  0.000000e+00
3.79580e+03  6.642e+12  6.202290e-01  0.000000e+00  0.000000e+00
3.89565e+03  6.658e+12  6.218392e-01  0.000000e+00  0.000000e+00
3.99550e+03  6.673e+12  6.234416e-01  0.000000e+00  0.000000e+00
4.09535e+03  6.686e+12  6.250350e-01  0.000000e+00  0.000000e+00
4.19520e+03  6.698e+12  6.266212e-01  0.000000e+00  0.000000e+00
4.29505e+03  6.708e+12  6.281947e-01  0.000000e+00  0.000000e+00
4.39490e+03  6.718e+12  6.297569e-01  0.000000e+00  0.000000e+00
4.49475e+03  6.726e+12  6.313072e-01  0.000000e+00  0.000000e+00
4.59460e+03  6.734e+12  6.328453e-01  0.000000e+00  0.000000e+00
4.69445e+03  6.740e+12  6.343708e-01  0.000000e+00  0.000000e+00
4.79430e+03  6.745e+12  6.358836e-01  0.000000e+00  0.000000e+00
4.89415e+03  6.750e+12  6.373834e-01  0.000000e+00  0.000000e+00
4.99400e+03  6.753e+12  6.388702e-01  0.000000e+00  0.000000e+00
5.09385e+03  6.756e+12  6.403439e-01  0.000000e+00  0.000000e+00
5.19370e+03  6.758e+12  6.418045e-01  0.000000e+00  0.000000e+00
5.29355e+03  6.760e+12  6.432519e-01  0.000000e+00  0.000000e+00
5.39340e+03  6.760e+12  6.446863e-01  0.000000e+00  0.000000e+00
5.49325e+03  6.760e+12  6.461076e-01  0.000000e+00  0.000000e+00
5.59310e+03  6.759e+12  6.475160e-01  0.000000e+00  0.000000e+00
5.69295e+03  6.758e+12  6.489116e-01  0.000000e+00  0.000000e+00
5.79280e+03  6.756e+12  6.502944e-01  0.000000e+00  0.000000e+00
5.89265e+03  6.754e+12  6.516646e-01  0.000000e+00  0.000000e+00
5.99250e+03  6.750e+12  6.530222e-01  0.000000e+00  0.000000e+00
6.09235e+03  6.747e+12  6.543675e-01  0.000000e+00  0.000000e+00
6.19220e+03  6.743e+12  6.557006e-01  0.000000e+00  0.000000e+00
6.29205e+03  6.738e+12  6.570215e-01  0.000000e+00  0.000000e+00
6.39190e+03  6.733e+12  6.583305e-01  0.000000e+00  0.000000e+00
6.49175e+03  6.727e+12  6.596277e-01  0.000000e+00  0.000000e+00
6.59160e+03  6.721e+12  6.609132e-01  0.000000e+00  0.000000e+00
6.69145e+03  6.715e+12  6.621871e-01  0.000000e+00  0.000000e+00
6.79130e+03  6.708e+12  6.634510e-01  0.000000e+00  0.000000e+00
6.89115e+03  6.701e+12  6.647026e-01  0.000000e+00  0.000000e+00
6.99100e+03  6.693e+12  6.659431e-01  0.000000e+00  0.000000e+00
7.09085e+03  6.685e+12  6.671726e-01  0.000000e+00  0.000000e+00
7.19070e+03  6.677e+12  6.683914e-01  0.000000e+00  0.000000e+00
7.29055e+03  6.668e+12  6.695996e-01  0.000000e+00  0.000000e+00
7.39040e+03  6.659e+12  6.707973e-01  0.000000e+00  0.000000e+00
7.49025e+03  6.650e+12  6.719846e-01  0.000000e+00  0.000000e+00
7.59010e+03  6.640e+12  6.731617e-01  0.000000e+00  0.000000e+00
7.68995e+03  6.630e+12  6.743287e-01  0.000000e+00  0.000000e+00
7.78980e+03  6.620e+12  6.754859e-01  0.000000e+00  0.000000e+00
7.88965e+03  6.609e+12  6.766332e-01  0.000000e+00  0.000000e+00
7.98950e+03  6.599e+12  6.777709e-01  0.000000e+00  0.000000e+00
8.08935e+03  6.588e+12  6.788991e-01  0.000000e+00  0.000000e+00
8.18920e+03  6.576e+12  6.800179e-01  0.000000e+00  0.000000e+00
8.28905e+03  6.565e+12  6.811275e-01  0.000000e+00  0.000000e+00
8.38890e+03  6.553e+12  6.822279e-01  0.000000e+00  0.000000e+00
8.48875e+03  6.541e+12  6.833194e-01  0.000000e+00  0.000000e+00
8.58860e+03  6.529e+12  6.844020e-01  0.000000e+00  0.000000e+00
8.68845e+03  6.516e+12  6.854759e-01  0.000000e+00  0.000000e+00
8.78830e+03  6.504e+12  6.865412e-01  0.000000e+00  0.000000e+00
8.88815e+03  6.491e+12  6.875980e-01  0.000000e+00  0.000000e+00
8.98800e+03  6.478e+12  6.886465e-01  0.000000e+00  0.000000e+00
9.08785e+03  6.465e+12  6.896867e-01  0.000000e+00  0.000000e+00
9.18770e+03  6.451e+12  6.907188e-01  0.000000e+00  0.000000e+00
9.28755e+03  6.438e+12  6.917429e-01  0.000000e+00  0.000000e+00
