#Energy[eV]	Flux[ph/s/0.1%bw/100mA] 
1000.00	3.191632E+12 
2000.00	4.595724E+12 
3000.00	5.395669E+12 
4000.00	5.884466E+12 
5000.00	6.199329E+12 
6000.00	6.409943E+12 
7000.00	6.553612E+12 
8000.00	6.651354E+12 
9000.00	6.715716E+12 
10000.00	6.754658E+12 
11000.00	6.773532E+12 
12000.00	6.776136E+12 
13000.00	6.765306E+12 
14000.00	6.743224E+12 
15000.00	6.711633E+12 
16000.00	6.671952E+12 
17000.00	6.625350E+12 
18000.00	6.572810E+12 
19000.00	6.515172E+12 
20000.00	6.453145E+12 
21000.00	6.387355E+12 
22000.00	6.318331E+12 
23000.00	6.246544E+12 
24000.00	6.172407E+12 
25000.00	6.096278E+12 
26000.00	6.018480E+12 
27000.00	5.939296E+12 
28000.00	5.858982E+12 
29000.00	5.777759E+12 
30000.00	5.695834E+12 
31000.00	5.613378E+12 
32000.00	5.530563E+12 
33000.00	5.447531E+12 
34000.00	5.364415E+12 
35000.00	5.281331E+12 
36000.00	5.198386E+12 
37000.00	5.115668E+12 
38000.00	5.033272E+12 
39000.00	4.951272E+12 
40000.00	4.869739E+12 
41000.00	4.788734E+12 
42000.00	4.708316E+12 
43000.00	4.628533E+12 
44000.00	4.549429E+12 
45000.00	4.471048E+12 
46000.00	4.393423E+12 
47000.00	4.316585E+12 
48000.00	4.240564E+12 
49000.00	4.165388E+12 
50000.00	4.091073E+12 
51000.00	4.017643E+12 
52000.00	3.945110E+12 
53000.00	3.873491E+12 
54000.00	3.802799E+12 
55000.00	3.733042E+12 
56000.00	3.664227E+12 
57000.00	3.596361E+12 
58000.00	3.529450E+12 
59000.00	3.463497E+12 
60000.00	3.398502E+12 
61000.00	3.334467E+12 
62000.00	3.271392E+12 
63000.00	3.209275E+12 
64000.00	3.148113E+12 
65000.00	3.087905E+12 
66000.00	3.028645E+12 
67000.00	2.970329E+12 
68000.00	2.912951E+12 
69000.00	2.856507E+12 
70000.00	2.800988E+12 
71000.00	2.746389E+12 
72000.00	2.692701E+12 
73000.00	2.639917E+12 
74000.00	2.588028E+12 
75000.00	2.537026E+12 
76000.00	2.486900E+12 
77000.00	2.437643E+12 
78000.00	2.389247E+12 
79000.00	2.341699E+12 
80000.00	2.294990E+12 
81000.00	2.249111E+12 
82000.00	2.204051E+12 
83000.00	2.159800E+12 
84000.00	2.116347E+12 
85000.00	2.073683E+12 
86000.00	2.031796E+12 
87000.00	1.990676E+12 
88000.00	1.950311E+12 
89000.00	1.910693E+12 
90000.00	1.871809E+12 
91000.00	1.833650E+12 
92000.00	1.796204E+12 
93000.00	1.759460E+12 
94000.00	1.723410E+12 
95000.00	1.688041E+12 
96000.00	1.653342E+12 
97000.00	1.619304E+12 
98000.00	1.585916E+12 
99000.00	1.553168E+12 
100000.00	1.521050E+12 
101000.00	1.489551E+12 
102000.00	1.458660E+12 
103000.00	1.428369E+12 
104000.00	1.398667E+12 
105000.00	1.369543E+12 
106000.00	1.340990E+12 
107000.00	1.312996E+12 
108000.00	1.285552E+12 
109000.00	1.258649E+12 
110000.00	1.232277E+12 
111000.00	1.206426E+12 
112000.00	1.181089E+12 
113000.00	1.156255E+12 
114000.00	1.131916E+12 
115000.00	1.108064E+12 
116000.00	1.084688E+12 
117000.00	1.061780E+12 
118000.00	1.039333E+12 
119000.00	1.017338E+12 
120000.00	9.957868E+11 
121000.00	9.746709E+11 
122000.00	9.539821E+11 
123000.00	9.337121E+11 
124000.00	9.138549E+11 
125000.00	8.944009E+11 
126000.00	8.753435E+11 
127000.00	8.566754E+11 
128000.00	8.383884E+11 
129000.00	8.204765E+11 
130000.00	8.029316E+11 
131000.00	7.857469E+11 
132000.00	7.689165E+11 
133000.00	7.524324E+11 
134000.00	7.362884E+11 
135000.00	7.204780E+11 
136000.00	7.049948E+11 
137000.00	6.898329E+11 
138000.00	6.749848E+11 
139000.00	6.604456E+11 
140000.00	6.462087E+11 
141000.00	6.322683E+11 
142000.00	6.186189E+11 
143000.00	6.052539E+11 
144000.00	5.921682E+11 
145000.00	5.793576E+11 
146000.00	5.668141E+11 
147000.00	5.545342E+11 
148000.00	5.425120E+11 
149000.00	5.307426E+11 
150000.00	5.192211E+11 
151000.00	5.079423E+11 
152000.00	4.969011E+11 
153000.00	4.860928E+11 
154000.00	4.755135E+11 
155000.00	4.651578E+11 
156000.00	4.550220E+11 
157000.00	4.451004E+11 
158000.00	4.353893E+11 
159000.00	4.258841E+11 
160000.00	4.165813E+11 
161000.00	4.074769E+11 
162000.00	3.985657E+11 
163000.00	3.898447E+11 
164000.00	3.813095E+11 
165000.00	3.729570E+11 
166000.00	3.647825E+11 
167000.00	3.567830E+11 
168000.00	3.489548E+11 
169000.00	3.412941E+11 
170000.00	3.337979E+11 
171000.00	3.264624E+11 
172000.00	3.192847E+11 
173000.00	3.122612E+11 
174000.00	3.053886E+11 
175000.00	2.986639E+11 
176000.00	2.920842E+11 
177000.00	2.856463E+11 
178000.00	2.793472E+11 
179000.00	2.731845E+11 
180000.00	2.671547E+11 
181000.00	2.612547E+11 
182000.00	2.554827E+11 
183000.00	2.498361E+11 
184000.00	2.443115E+11 
185000.00	2.389066E+11 
186000.00	2.336190E+11 
187000.00	2.284463E+11 
188000.00	2.233858E+11 
189000.00	2.184352E+11 
190000.00	2.135925E+11 
191000.00	2.088549E+11 
192000.00	2.042208E+11 
193000.00	1.996875E+11 
194000.00	1.952531E+11 
195000.00	1.909152E+11 
196000.00	1.866719E+11 
197000.00	1.825215E+11 
198000.00	1.784618E+11 
199000.00	1.744908E+11 
200000.00	1.706069E+11 
201000.00	1.668075E+11 
202000.00	1.630919E+11 
203000.00	1.594572E+11 
204000.00	1.559025E+11 
205000.00	1.524255E+11 
206000.00	1.490250E+11 
207000.00	1.456993E+11 
208000.00	1.424463E+11 
209000.00	1.392651E+11 
210000.00	1.361536E+11 
211000.00	1.331107E+11 
212000.00	1.301349E+11 
213000.00	1.272244E+11 
214000.00	1.243781E+11 
215000.00	1.215947E+11 
216000.00	1.188726E+11 
217000.00	1.162105E+11 
218000.00	1.136072E+11 
219000.00	1.110614E+11 
220000.00	1.085718E+11 
221000.00	1.061372E+11 
222000.00	1.037566E+11 
223000.00	1.014286E+11 
224000.00	9.915197E+10 
225000.00	9.692597E+10 
226000.00	9.474919E+10 
227000.00	9.262061E+10 
228000.00	9.053919E+10 
229000.00	8.850406E+10 
230000.00	8.651416E+10 
231000.00	8.456835E+10 
232000.00	8.266563E+10 
