# energy[keV] vert_div_fwhm[mrad] vert_div_rms[mrad] flux[ph/s/0.1%/100mA]
1.000000e+00 6.616484e-01 1.955613e-01 3.383060e+12
2.000000e+00 6.615308e-01 1.935073e-01 5.274153e+12
3.000000e+00 6.612935e-01 1.902226e-01 6.653871e+12
4.000000e+00 6.609591e-01 1.864234e-01 7.691079e+12
5.000000e+00 6.605214e-01 1.823885e-01 8.477470e+12
6.000000e+00 6.574306e-01 1.782596e-01 9.073672e+12
7.000000e+00 6.186215e-01 1.741207e-01 9.522953e+12
8.000000e+00 5.862854e-01 1.700257e-01 9.857402e+12
9.000000e+00 5.586923e-01 1.660106e-01 1.010131e+13
1.000000e+01 5.347041e-01 1.621001e-01 1.027331e+13
1.100000e+01 5.135432e-01 1.583109e-01 1.038785e+13
1.200000e+01 4.946468e-01 1.546540e-01 1.045619e+13
1.300000e+01 4.776041e-01 1.511357e-01 1.048719e+13
1.400000e+01 4.621016e-01 1.477593e-01 1.048788e+13
1.500000e+01 4.478963e-01 1.445254e-01 1.046382e+13
1.600000e+01 4.347985e-01 1.414324e-01 1.041948e+13
1.700000e+01 4.226547e-01 1.384777e-01 1.035845e+13
1.800000e+01 4.113410e-01 1.356571e-01 1.028365e+13
1.900000e+01 4.007543e-01 1.329658e-01 1.019745e+13
2.000000e+01 3.908267e-01 1.303987e-01 1.010178e+13
2.100000e+01 3.815352e-01 1.279500e-01 9.998253e+12
2.200000e+01 3.728164e-01 1.256139e-01 9.888209e+12
2.300000e+01 3.646142e-01 1.233847e-01 9.772753e+12
2.400000e+01 3.568775e-01 1.212564e-01 9.652828e+12
2.500000e+01 3.495641e-01 1.192236e-01 9.529227e+12
2.600000e+01 3.426371e-01 1.172807e-01 9.402628e+12
2.700000e+01 3.360629e-01 1.154225e-01 9.273608e+12
2.800000e+01 3.298127e-01 1.136440e-01 9.142664e+12
2.900000e+01 3.238617e-01 1.119405e-01 9.010236e+12
3.000000e+01 3.181862e-01 1.103075e-01 8.876697e+12
3.100000e+01 3.127657e-01 1.087407e-01 8.742377e+12
3.200000e+01 3.075818e-01 1.072363e-01 8.607565e+12
3.300000e+01 3.026185e-01 1.057906e-01 8.472508e+12
3.400000e+01 2.978607e-01 1.044002e-01 8.337441e+12
3.500000e+01 2.932945e-01 1.030617e-01 8.202561e+12
3.600000e+01 2.889086e-01 1.017723e-01 8.068042e+12
3.700000e+01 2.846906e-01 1.005291e-01 7.934044e+12
3.800000e+01 2.806305e-01 9.932951e-02 7.800706e+12
3.900000e+01 2.767196e-01 9.817118e-02 7.668144e+12
4.000000e+01 2.729482e-01 9.705182e-02 7.536475e+12
4.100000e+01 2.693096e-01 9.596935e-02 7.405797e+12
4.200000e+01 2.657961e-01 9.492181e-02 7.276200e+12
4.300000e+01 2.624003e-01 9.390738e-02 7.147758e+12
4.400000e+01 2.591165e-01 9.292438e-02 7.020542e+12
4.500000e+01 2.559392e-01 9.197122e-02 6.894614e+12
4.600000e+01 2.528622e-01 9.104642e-02 6.770025e+12
4.700000e+01 2.498810e-01 9.014862e-02 6.646824e+12
4.800000e+01 2.469902e-01 8.927652e-02 6.525052e+12
4.900000e+01 2.441869e-01 8.842891e-02 6.404742e+12
5.000000e+01 2.414663e-01 8.760467e-02 6.285929e+12
5.100000e+01 2.388239e-01 8.680275e-02 6.168637e+12
5.200000e+01 2.362572e-01 8.602214e-02 6.052888e+12
5.300000e+01 2.337620e-01 8.526192e-02 5.938704e+12
5.400000e+01 2.313356e-01 8.452120e-02 5.826097e+12
